region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center,n_cell_distance,branch,role,matched_to_region,best_model
13.0,4.0,0.2402777224779129,0.270804226398468,-0.41768553853034973,-0.01080634631216526,0.007084312383085489,0.03421070799231529,0.020647510886192322,0.7138386368751526,0.2402777224779129,0.270804226398468,-0.41768553853034973,-0.01080634631216526,-0.05256255716085434,-0.06273806095123291,0.16675852239131927,0.031132129952311516,0.031132129952311516,0.16675852239131927,0.15111587941646576,0.040343351662158966,0.17167381942272186,0.22961373627185822,466.0,6215.209921518962,6693.188351949057,970.2662471930186,1212.01038112243,6454.199136734009,1091.1383141577244,206.0,myeloid_vascular,matched_control,8_22,vascular_only
1.0,23.0,-0.36924731731414795,-1.5646369457244873,-0.743248462677002,-2.864250659942627,-1.4899636507034302,-1.2807279825210571,-1.3853458166122437,0.36450114846229553,-0.36924731731414795,-1.5646369457244873,-0.743248462677002,-2.864250659942627,-1.7240453958511353,-1.3255821466445923,-1.599378228187561,-0.8923775553703308,-0.8923775553703308,-1.599378228187561,0.18666666746139526,0.2666666805744171,0.0,1.0,1.0,479.4687563578288,957.4471867879232,5563.404791851838,5805.14892578125,718.457971572876,5684.276858816544,25.0,myeloid_vascular,matched_control,16_23,vascular_only
12.0,0.0,0.024201538413763046,0.0237046517431736,-0.5033549070358276,-0.5478335618972778,-0.34337493777275085,-0.15826618671417236,-0.2508205771446228,0.8777629733085632,0.024201538413763046,0.0237046517431736,-0.5033549070358276,-0.5478335618972778,-0.3424946069717407,-0.3423289954662323,-0.1666424721479416,-0.1518162339925766,-0.1518162339925766,-0.1666424721479416,0.19139784574508667,0.03172042965888977,0.2244623601436615,0.19623656570911407,744.0,5737.231491088867,6215.209921518962,3.2897114753723145,245.03384540478388,5976.220706303915,124.1617784400781,6.0,myeloid_vascular,matched_control,9_17,vascular_only
12.0,1.0,0.18880070745944977,0.5750288367271423,-0.4567471146583557,-0.05246071517467499,-0.005939029622823,0.133249893784523,0.06365543603897095,0.751973569393158,0.18880070745944977,0.5750288367271423,-0.4567471146583557,-0.05246071517467499,0.021940337494015694,-0.10680236667394638,0.23712295293807983,0.10236082226037979,0.10236082226037979,0.23712295293807983,0.25919753313064575,0.029100531712174416,0.41798943281173706,0.17724867165088654,756.0,5737.231491088867,6215.209921518962,245.03384540478388,486.77797933419544,5976.220706303915,365.90591236948967,14.0,myeloid_vascular,matched_control,6_21,vascular_only
12.0,5.0,0.08702192455530167,0.4804997444152832,-0.33845552802085876,-0.2306646853685379,0.04315617308020592,-0.043955449014902115,-0.0003996387531515211,0.6623964905738831,0.08702192455530167,0.4804997444152832,-0.33845552802085876,-0.2306646853685379,-0.029540160670876503,-0.16069944202899933,0.11228565871715546,0.07635537534952164,0.07635537534952164,0.11228565871715546,0.31522321701049805,0.012202381156384945,0.6517857313156128,0.0647321417927742,448.0,5737.231491088867,6215.209921518962,1212.01038112243,1453.7545150518417,5976.220706303915,1332.8824480871358,252.0,myeloid_vascular,matched_control,7_22,vascular_only
12.0,3.0,0.18712592124938965,0.6798049211502075,-0.37274640798568726,-0.28110212087631226,0.09897352010011673,0.007567623630166054,0.05327057093381882,0.682702362537384,0.18712592124938965,0.6798049211502075,-0.37274640798568726,-0.28110212087631226,0.00865212269127369,-0.15557421743869781,0.19527623057365417,0.16472813487052917,0.16472813487052917,0.19527623057365417,0.35058465600013733,0.03141361474990845,0.7081151604652405,0.18193717300891876,764.0,5737.231491088867,6215.209921518962,728.522113263607,970.2662471930186,5976.220706303915,849.3941802283127,69.0,myeloid_vascular,matched_control,8_17,vascular_only
5.0,1.0,-0.18445247411727905,-0.748019814491272,0.3511001765727997,-0.8200786113739014,-0.33065780997276306,-0.3700675070285797,-0.3503626585006714,0.7315928339958191,-0.18445247411727905,-0.748019814491272,0.3511001765727997,-0.8200786113739014,-0.4056660532951355,-0.21781028807163239,-0.5841835737228394,-0.19379068911075592,-0.19379068911075592,-0.5841835737228394,0.2547648251056671,0.00027266531833447516,0.3905930519104004,0.002044989727437496,489.0,2391.3824780782065,2869.360908508301,245.03384540478388,486.77797933419544,2630.371693293254,365.90591236948967,27.0,epithelial_emt_front,matched_control,14_22,emt_only
1.0,0.0,-0.10552722215652466,-0.9435656666755676,-0.10401953756809235,-0.8555310964584351,-0.48800772428512573,-0.5163140296936035,-0.502160906791687,0.6961690783500671,-0.10552722215652466,-0.9435656666755676,-0.10401953756809235,-0.8555310964584351,-0.6343721151351929,-0.355025976896286,-0.6348746418952942,-0.3843708038330078,-0.3843708038330078,-0.6348746418952942,0.17871253192424774,0.006701940670609474,0.0634920671582222,0.050264548510313034,378.0,479.4687563578288,957.4471867879232,3.2897114753723145,245.03384540478388,718.457971572876,124.1617784400781,39.0,epithelial_emt_front,matched_control,14_17,emt_only
6.0,1.0,-0.08971840888261795,-0.6384823322296143,0.08835863322019577,-0.8920509219169617,-0.34866252541542053,-0.4172839820384979,-0.38297325372695923,0.7390261292457581,-0.08971840888261795,-0.6384823322296143,0.08835863322019577,-0.8920509219169617,-0.48072487115859985,-0.2978035509586334,-0.5400838851928711,-0.21328070759773254,-0.21328070759773254,-0.5400838851928711,0.21817545592784882,0.007578947581350803,0.16421052813529968,0.056842103600502014,475.0,2869.360908508301,3347.3393389383955,245.03384540478388,486.77797933419544,3108.350123723348,365.90591236948967,75.0,epithelial_emt_front,matched_control,14_19,emt_only
21.0,0.0,-0.15534955263137817,-0.6836152672767639,-0.17178760468959808,-0.9158484935760498,-0.3892684876918793,-0.5740319490432739,-0.4816502332687378,0.7301892638206482,-0.15534955263137817,-0.6836152672767639,-0.17178760468959808,-0.9158484935760498,-0.5904171466827393,-0.41432854533195496,-0.5849377512931824,-0.3369174599647522,-0.3369174599647522,-0.5849377512931824,0.19697895646095276,0.012490922585129738,0.18300653994083405,0.0784313753247261,459.0,10039.037364959717,10517.015795389812,3.2897114753723145,245.03384540478388,10278.026580174765,124.1617784400781,19.0,epithelial_emt_front,matched_control,14_20,emt_only
22.0,5.0,-0.15959890186786652,-0.5970296859741211,0.3005999028682709,-0.8081820011138916,-0.2673034965991974,-0.3648017942905426,-0.31605264544487,0.7285134196281433,-0.15959890186786652,-0.5970296859741211,0.3005999028682709,-0.8081820011138916,-0.36820390820503235,-0.22239366173744202,-0.521603524684906,-0.15200956165790558,-0.15200956165790558,-0.521603524684906,0.2676190435886383,0.01428571529686451,0.4719387888908386,0.1071428582072258,392.0,10517.015795389812,10994.994225819906,1212.01038112243,1453.7545150518417,10756.005010604858,1332.8824480871358,10.0,epithelial_emt_front,matched_control,14_21,emt_only
8.0,1.0,-0.1770179718732834,-0.7945427894592285,0.321940153837204,-0.7831974029541016,-0.4276115298271179,-0.2887974977493286,-0.35820451378822327,0.7390822768211365,-0.1770179718732834,-0.7945427894592285,0.321940153837204,-0.7831974029541016,-0.41860002279281616,-0.212758406996727,-0.5849194526672363,-0.21654020249843597,-0.21654020249843597,-0.5849194526672363,0.23876826465129852,0.014984128065407276,0.2514285743236542,0.10857142508029938,525.0,3825.3177693684897,4303.296199798584,245.03384540478388,486.77797933419544,4064.306984583537,365.90591236948967,9.0,epithelial_emt_front,matched_control,13_2,emt_only
