pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_activation,immune_ecology,embedding__plip_006,-0.267215100651762,0.267215100651762,0.0009862416818923398,149,"structure,x,y,boundary_distance,log_total_counts",0.6311946764110975,1,0.1111111111111111,0.22888445864202572,0.25345291032042827,True,True,0.1111111111111111,0.1409286192378312,0.16402138958029602,True,True
oxidative_phosphorylation,metabolic_stress,embedding__plip_050,0.2501000908480938,0.2501000908480938,0.002096642442963646,149,"structure,x,y,boundary_distance,log_total_counts",0.6709255817483667,2,0.1111111111111111,0.11887236789166547,0.1382868993557499,True,True,0.1111111111111111,0.07674830999465566,0.07676159839901346,True,True
immune_activation,immune_ecology,embedding__plip_040,-0.2380755642395004,0.2380755642395004,0.003458221894377869,149,"structure,x,y,boundary_distance,log_total_counts",0.7377540041339454,3,0.1111111111111111,0.159185884620535,0.18682717286851724,True,True,0.1111111111111111,0.16444071799996957,0.20113359924436186,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_009,-0.22231698167182146,0.22231698167182146,0.00642899069870298,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,4,0.1111111111111111,0.1233760641148056,0.14448535109751703,True,True,0.1111111111111111,0.1168331383372227,0.1426413439002032,True,True
oxidative_phosphorylation,metabolic_stress,embedding__plip_061,0.21604687989978666,0.21604687989978666,0.008137588778337325,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,5,0.1111111111111111,0.10435548772760601,0.1141515281357225,True,True,0.1111111111111111,0.13316886031424183,0.1337627812266281,True,True
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_029,0.21602284238294178,0.21602284238294178,0.008144847347878518,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,6,0.1111111111111111,0.10427279515497916,0.10584512149771476,True,True,0.1111111111111111,0.12597206309690376,0.13566502357828955,True,True
immune_activation,immune_ecology,embedding__plip_045,0.1970644994782635,0.1970644994782635,0.01600107088763453,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,7,0.1111111111111111,0.14372003506064027,0.1529835566542607,True,True,0.1111111111111111,0.1398562899835028,0.16792548336397572,True,True
emt_invasive_front,invasion_boundary_emt,embedding__plip_051,-0.19461582256600704,0.19461582256600704,0.017389403012761956,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,8,0.1111111111111111,0.11234942786259113,0.12868101814364064,True,True,0.1111111111111111,0.16998700821604315,0.18286775524440843,True,True
emt_invasive_front,invasion_boundary_emt,embedding__plip_054,-0.1932908259600156,0.1932908259600156,0.01818335372507261,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,9,0.1111111111111111,0.15719465992394077,0.16851270190888124,True,True,0.1111111111111111,0.13892202547691967,0.14541732514752542,True,True
immune_activation,immune_ecology,embedding__plip_011,-0.19100638194848898,0.19100638194848898,0.01962610102641153,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,10,0.1111111111111111,0.1714381660081626,0.17366134283478915,True,True,0.1111111111111111,0.15309115519407096,0.15333852246482071,True,True
