pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_activation,embedding__plip_006,0.267215100651762,7,8,0.1111111111111111,0.1409286192378312,0.16402138958029602,True,True
oxidative_phosphorylation,embedding__plip_050,0.2501000908480938,7,8,0.1111111111111111,0.07674830999465566,0.07676159839901346,True,True
immune_activation,embedding__plip_040,0.2380755642395004,7,8,0.1111111111111111,0.16444071799996957,0.20113359924436186,True,True
luminal_estrogen_response,embedding__plip_009,0.22231698167182146,10,8,0.1111111111111111,0.1168331383372227,0.1426413439002032,True,True
oxidative_phosphorylation,embedding__plip_061,0.21604687989978666,7,8,0.1111111111111111,0.13316886031424183,0.1337627812266281,True,True
basal_squamous_state,embedding__plip_029,0.21602284238294178,6,8,0.1111111111111111,0.12597206309690376,0.13566502357828955,True,True
immune_activation,embedding__plip_045,0.1970644994782635,7,8,0.1111111111111111,0.1398562899835028,0.16792548336397572,True,True
emt_invasive_front,embedding__plip_051,0.19461582256600704,8,8,0.1111111111111111,0.16998700821604315,0.18286775524440843,True,True
emt_invasive_front,embedding__plip_054,0.1932908259600156,8,8,0.1111111111111111,0.13892202547691967,0.14541732514752542,True,True
immune_activation,embedding__plip_011,0.19100638194848898,7,8,0.1111111111111111,0.15309115519407096,0.15333852246482071,True,True
