axis_pool,cluster,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75,caf_pool_label
S1_CAF,"CAFs, Invasive Associated",5.0,0.9847078607760534,0.9632064423783584,0.9980909694552654,48,0.0,0.0,0.0,2493,0.9847078607760534,0.9632064423783584,0.9980909694552654,0.012537689883516383,0.012263925321797967,0.012708088915534994,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",10.0,0.961127393518195,0.8850926988752337,0.9925976189609749,324,0.0,0.0,0.0,2493,0.9666941358729478,0.8854346019322414,0.9959205671313036,0.003077083003642559,0.002818425873642418,0.0031701136237166153,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",20.0,0.9512729127742262,0.8572845723256922,0.9854676439049315,1037,0.0,0.0,1.0,2493,0.9887423450355364,0.9115772727052289,1.74939009036449,0.0007868161582833896,0.0007254101448063294,0.0013921204013874302,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",30.0,0.9312696061666095,0.8079418993721424,0.9783858440724544,1539,1.0,0.0,2.0,2493,0.9997413863469797,0.9360744236030683,1.990397185424297,0.0003535861854459247,0.0003310686035962779,0.0007039590017254948,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",50.0,0.8838555047558592,0.7132217343265529,0.9598518221986022,2066,2.0,1.0,4.0,2493,1.9488502643782177,0.9903931258324233,3.4101189707887123,0.00024813532233739237,0.00012610076926437096,0.00043418983258597616,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",75.0,0.8261810842223272,0.6325066640295729,0.926782843702901,2310,4.0,2.0,6.0,2493,3.044297696253624,1.699813265900432,4.921152364115002,0.00017227200945850083,9.618975416932692e-05,0.0002784802575848069,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",100.0,0.7734397638533255,0.5791781656714353,0.8870411948948839,2390,6.0,3.0,9.0,2493,4.269868860247636,2.25677552032244,6.797472554533023,0.0001359141470925137,7.183539590162009e-05,0.00021637027151708474,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",150.0,0.687384875618178,0.5288797427293235,0.8140250194843213,2450,11.0,6.0,17.0,2493,6.8503143831663404,3.9998333433659283,11.02761238223563,9.691212407239388e-05,5.658606650137509e-05,0.00015600880187859482,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",200.0,0.6264486825593342,0.496470557015248,0.746244471081923,2469,17.0,10.0,26.0,2493,9.840663702263738,6.124223720420066,15.850014703275374,7.830951357601327e-05,4.873502388527456e-05,0.00012613040940527483,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",300.0,0.5667030074353948,0.4731178289533805,0.656951693700681,2477,34.0,20.0,50.0,2493,18.385285805609247,11.134138204350487,28.944315501513547,6.502464702488824e-05,3.9378958495348874e-05,0.00010236957525505005,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",400.0,0.5445976541451691,0.466288443738448,0.6122961476191435,2482,60.0,34.0,82.0,2493,30.325317482896452,18.457233914478756,44.68126981056057,6.033030222792555e-05,3.671950016615834e-05,8.889056192466736e-05,S1 invasive CAF
S1_CAF,"CAFs, Invasive Associated",500.0,0.5325201797167024,0.4658689934981566,0.5932693339010974,2487,90.0,53.0,120.0,2493,44.57260831538828,27.51002275589121,64.32078502717607,5.67516075191437e-05,3.502684884936489e-05,8.189576704500993e-05,S1 invasive CAF
S4_CAF,"CAFs, DCIS Associated",5.0,0.9861538065362845,0.9605697640644305,0.9981757677111132,498,0.0,0.0,0.0,13460,0.987249940310901,0.9606936722554068,0.9983634531608828,0.012570056645412681,0.012231931738924258,0.012711558285827875,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",10.0,0.9603823845476094,0.850669265678415,0.9929705568366428,2544,0.0,0.0,0.0,13460,0.976617041840147,0.8832789618628559,0.9983230556723307,0.003108668594332875,0.0028115642581910245,0.003177760982257137,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",20.0,0.9212365493595662,0.7654583260764456,0.9807554110028001,6860,1.0,0.0,1.0,13460,0.9934012884647222,0.8994971050878187,1.8175577313268372,0.0007905236276650918,0.0007157970528578819,0.0014463664864777857,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",30.0,0.8803854455115436,0.698129745640436,0.9638371552872591,9903,1.0,0.0,3.0,13460,1.5934115170380694,0.9496581402799285,2.5047704009943565,0.0005635540429248102,0.0003358728606066826,0.0008858813125078237,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",50.0,0.8065557599601768,0.6259896594931577,0.9204116669769717,12566,4.0,2.0,6.0,13460,2.8622116619235145,1.6238809119874742,4.677223817348279,0.00036442810733631695,0.00020675893930830526,0.0005955226323824983,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",75.0,0.7534771948571203,0.59132643663584,0.8707630655344979,13247,8.0,5.0,12.0,13460,5.559353913609522,3.2324817216623267,8.576227996126523,0.0003145950775993703,0.00018292104691795892,0.00048531522797035955,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",100.0,0.7207723754559578,0.5685769775106997,0.8333005205729345,13375,13.0,8.0,20.0,13460,9.118289651910262,5.510336118117795,13.679233814823963,0.00029024417412903914,0.0001753994462592506,0.0004354235358678077,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",150.0,0.6724701562907239,0.5415395456418515,0.7856917264853337,13432,28.0,19.0,41.0,13460,18.104723150321014,11.600128442508048,26.639430408745667,0.00025612943846078766,0.00016410824730009286,0.0003768708471737264,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",200.0,0.6407365723539058,0.5225451384519312,0.7489994858376052,13452,46.0,32.0,70.0,13460,29.414737346733624,19.172694330938207,43.300833707154815,0.00023407504242412193,0.00015257145375793875,0.0003445770862246924,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",300.0,0.6001516609737344,0.5012986742729093,0.6971585334439537,13459,98.0,65.0,148.0,13460,58.06545783552991,37.80432720418468,86.45620804645523,0.00020536454749819135,0.00013370545655132007,0.0003057762860349921,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",400.0,0.5823288478541138,0.4903260808777346,0.6641137112141329,13460,165.0,109.0,251.0,13460,95.09703962143156,61.44331763911357,139.8769721924411,0.0001891895491144582,0.00012223759652787964,0.0002782763943644323,S4 DCIS-associated CAF
S4_CAF,"CAFs, DCIS Associated",500.0,0.5682398975988205,0.482862044108174,0.6412203358696456,13460,245.0,161.0,380.25,13460,137.14772571094153,89.5226689094833,202.47525119676405,0.00017462190784566217,0.00011398380220578723,0.00025779949665390557,S4 DCIS-associated CAF
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,5.0,0.9950128501009803,0.9783955172494767,0.9988435430118214,217,0.0,0.0,0.0,2307,0.9950452314494904,0.9811153244133983,0.9989527430532161,0.012669309374816438,0.012491948289888068,0.012719061357770189,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,10.0,0.9901425110660272,0.9566906377253157,0.9972939854228916,352,0.0,0.0,0.0,2307,0.9939609043093847,0.9720475662260278,0.9994880137320872,0.0031638758232185793,0.0030941235017063764,0.003181469158931237,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,20.0,0.9734634344356587,0.9060853445200827,0.9935641294223218,634,0.0,0.0,1.0,2307,0.9964094535330081,0.9569855656662737,1.9081684148398335,0.0007929174493663622,0.0007615449162169053,0.0015184721773679292,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,30.0,0.95563527674887,0.8570151137733625,0.9902286668060781,872,0.0,0.0,1.0,2307,0.9974344432299809,0.9400930467419895,1.9684532138540944,0.0003527702712225865,0.00033248990078957297,0.0006961979094000153,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,50.0,0.9271530196070688,0.766146065881037,0.9775405373595254,1261,1.0,0.0,2.0,2307,0.9999651803075773,0.9184795166978692,2.5104310056044223,0.00012731952109258345,0.00011694444416889673,0.0003196380030664811,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,75.0,0.8681554091974546,0.672458135634919,0.9547666897149195,1599,1.0,0.0,3.0,2307,1.7156131192790591,0.9246851395478561,2.9883062667891163,9.708384297477963e-05,5.232647493783479e-05,0.00016910354269581367,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,100.0,0.8059912791376866,0.5853561455877911,0.9227507397673609,1866,2.0,1.0,4.0,2307,1.928438481541892,0.975017998155968,3.86118038923755,6.138410335720418e-05,3.1035786802017354e-05,0.00012290518902332892,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,150.0,0.6930956890784399,0.5063399427942219,0.8473127816833884,2179,4.0,2.0,7.0,2307,2.8603661764375916,1.3620237959526833,5.293203747605498,4.0465903647369524e-05,1.9268695087525026e-05,7.488351477546312e-05,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,200.0,0.6384284308945352,0.49241606572532765,0.7872553960560121,2266,7.0,4.0,12.0,2307,4.442871110901979,2.425842821747541,7.43661288211328,3.535524494101152e-05,1.9304243812255636e-05,5.917868500245974e-05,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,300.0,0.5830787211976678,0.47466894296196427,0.6974921355368786,2301,15.0,10.0,23.0,2307,8.525606879934031,5.401301151490504,13.229449153576882,3.015316617332827e-05,1.910319505305911e-05,4.6789605048325585e-05,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,400.0,0.548138596465949,0.46460018262029035,0.6453375952206624,2303,26.0,19.0,38.0,2307,13.871883710767369,9.454377629698715,21.289815990879223,2.759723578205713e-05,1.880888667029984e-05,4.2354743155816326e-05,S3 CXCL14+ fibroblast
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,500.0,0.5349831113203304,0.4639885655370061,0.617143453934037,2306,40.0,30.0,52.0,2307,20.832821853784473,14.97912871746787,29.796826965164225,2.652517261266129e-05,1.9072019028758193e-05,3.793849839967812e-05,S3 CXCL14+ fibroblast
