axis_pool,cluster,n_axes,axial_rbar,mean_axis_degrees,kappa,rayleigh_p,local_rbar_median,local_rbar_q25,local_rbar_q75,local_rbar_n_cells,caf_pool_label
S1_CAF,"CAFs, Invasive Associated",2493,0.07327158711209968,52.0450822264206,0.14693830919622036,1.53922330453472e-06,0.44884402236897974,0.2745298744791528,0.6416019343879275,2493,S1 invasive CAF
S4_CAF,"CAFs, DCIS Associated",13460,0.1133809126899563,86.86935800641056,0.22823497740001486,7.135290247812729e-76,0.5993114513915954,0.4096316337256162,0.7442491978676977,13460,S4 DCIS-associated CAF
S3_CXCL14_fibroblast,CXCL14+ Fibroblasts,2307,0.1258408727436004,66.913708693805,0.25370085042274493,1.360540339817725e-16,0.3797281294686882,0.23977066716305306,0.5652193515143198,2307,S3 CXCL14+ fibroblast
