pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
unfolded_protein_response,embedding__plip_028,0.2774524584090382,7,12,0.0769230769230769,0.1457584588759981,0.1576390499446582,True,True,breast_discovery
immune_exclusion,embedding__plip_014,0.2572309746989101,7,12,0.1538461538461538,0.2275763575773067,0.2597534192879753,True,False,breast_discovery
luminal_estrogen_response,embedding__plip_058,0.2461741306021434,10,12,0.0769230769230769,0.2232697378570675,0.2285947217077797,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_009,0.244591051088885,10,12,0.0769230769230769,0.2183041455123603,0.2274213863546932,True,True,breast_discovery
unfolded_protein_response,embedding__plip_009,0.2416866234651413,7,12,0.0769230769230769,0.1222766557868659,0.1362029665560936,True,True,breast_discovery
unfolded_protein_response,embedding__plip_038,0.238407619102839,7,12,0.1538461538461538,0.1962796298428418,0.2557729077320313,True,False,breast_discovery
unfolded_protein_response,embedding__plip_056,0.2345082751364993,7,12,0.0769230769230769,0.1516256840774993,0.1519892874302209,True,True,breast_discovery
unfolded_protein_response,embedding__plip_022,0.2342935894615031,7,12,0.1538461538461538,0.194831150119091,0.2267472673169802,True,True,breast_discovery
oxidative_phosphorylation,embedding__plip_045,0.2287669306183642,7,12,0.0769230769230769,0.1530115163986666,0.1886951868666048,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_034,0.2219069908285656,10,12,0.0769230769230769,0.1777178609308439,0.1813429888613285,True,True,breast_discovery
epithelial_identity,embedding__plip_007,0.3293476564116017,7,12,0.0769230769230769,0.1165738813847846,0.1369349666638266,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_017,0.3018474571941457,10,12,0.0769230769230769,0.1796454652496267,0.1895187340071034,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_008,0.2777619684401649,7,12,0.0769230769230769,0.1513085590051967,0.1747074762666859,True,True,cervical_validation
unfolded_protein_response,embedding__plip_055,0.269568749533504,7,12,0.0769230769230769,0.1760139114928266,0.1927566526457126,True,True,cervical_validation
immune_exclusion,embedding__plip_059,0.257441275773818,7,12,0.0769230769230769,0.1387996369232666,0.1430876575001724,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_060,0.2554280174645949,7,12,0.0769230769230769,0.2052532278532579,0.2185351672228545,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_000,0.2508570588055709,10,12,0.0769230769230769,0.1286554696401469,0.129829712002655,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_030,0.2508477045713964,7,12,0.2307692307692307,0.2902056182963604,0.3131275321943736,False,False,cervical_validation
unfolded_protein_response,embedding__plip_021,0.2485058621383538,7,12,0.0769230769230769,0.0914354921814741,0.0945447841924592,True,True,cervical_validation
immune_activation,embedding__plip_011,0.2481699494924662,7,12,0.0769230769230769,0.1247759352286995,0.1462644043629314,True,True,cervical_validation
