sample_id,contour_key,contour_id,immune_exclusion__image_evidence,immune_exclusion__omics_evidence,immune_exclusion__spatial_evidence,immune_exclusion,myeloid_vascular_belt__image_evidence,myeloid_vascular_belt__omics_evidence,myeloid_vascular_belt__spatial_evidence,myeloid_vascular_belt,emt_invasive_front__image_evidence,emt_invasive_front__omics_evidence,emt_invasive_front__spatial_evidence,emt_invasive_front,stromal_encapsulation__image_evidence,stromal_encapsulation__omics_evidence,stromal_encapsulation__spatial_evidence,stromal_encapsulation,tls_adjacent_activation__image_evidence,tls_adjacent_activation__omics_evidence,tls_adjacent_activation__spatial_evidence,tls_adjacent_activation,necrotic_hypoxic_rim__image_evidence,necrotic_hypoxic_rim__omics_evidence,necrotic_hypoxic_rim__spatial_evidence,necrotic_hypoxic_rim,top_program,top_program_score
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #1.1,-2.2204177979099198,-0.21198589332321308,0.22013981571160285,-0.73742129184051,0.16083001479786774,0.6993470137588508,0.4402796314232057,0.43348555332664135,0.21508704628235514,1.0738778715825903,0.416020480468899,0.5683284661112814,-1.2912256223791752,0.5519274317916782,0.5654758188271128,-0.05794079058679469,0.136543102418444,0.9803859107089559,0.29351975428213717,0.47014958913651234,0.6095068629342938,-0.8597737916761852,0.12537895106680608,-0.0416293258916951,emt_invasive_front,0.5683284661112814
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #2.1,0.6610650674281473,0.0,0.22013981571160285,0.29373496104658336,-0.7932433945955285,0.0,0.4402796314232057,-0.1176545877241076,0.5289776708538096,,0.0,0.2644888354269048,-1.5326872412330312,,0.29351975428213717,-0.619583743475447,-0.3289804415892023,0.0,0.29351975428213717,-0.011820229102355048,-1.3224456573381491,,0.09783991809404573,-0.6123028696220517,immune_exclusion,0.29373496104658336
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #3.1,0.08543459432500573,0.0,0.0,0.028478198108335243,-0.12814901231585607,-0.008071273626913705,0.0,-0.045406761980923256,0.29293863252892777,2.1343611215568807,0.0,0.8090999180286028,0.4413551580487603,1.1782053468628209,0.0,0.5398535016371937,-0.07556180835825015,-0.37096991771212745,0.0,-0.14884390869012587,-0.1177660191414152,-1.0473446818933991,0.0,-0.38837023367827145,emt_invasive_front,0.8090999180286028
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #4.1,-2.2543208507055676,0.592892362431932,0.4402796314232057,-0.40704961895014335,-0.13405707116780083,0.3915403207385042,0.8805592628464114,0.3793475041390382,0.5801660211798716,0.08674198357713817,0.10338448579328229,0.256764163516764,-0.4584971513948937,-0.05969493536890284,0.4832569930813227,-0.011645031227491295,-0.04156669150220193,1.5328195311943336,0.5870395085642743,0.6927641160854687,0.6918071462059023,-0.8994037036947015,0.21253722610208906,0.0016468895377633093,tls_adjacent_activation,0.6927641160854687
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #1.1,-2.1145435463434623,-0.4676804971387457,0.4402796314232057,-0.7139814706863342,0.10761335716421037,0.3186085943475434,0.8805592628464114,0.4355937381193884,0.20590347187237953,-0.5986905924703156,-0.1654792463495797,-0.18608878898250525,-0.7810956343636649,-0.5951609924875723,0.24426700895433426,-0.37732987263230106,0.026459809922404227,0.5381927560011468,0.5870395085642743,0.38389735816260845,0.38198055128939196,1.0045664054427048,0.20287838380228504,0.5298084468447939,necrotic_hypoxic_rim,0.5298084468447939
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #2.1,0.6558578604971205,0.0,0.0,0.2186192868323735,-0.0856455531716656,0.0,0.0,-0.02854851772388853,-0.06096730454309329,,0.0,-0.030483652271546646,-0.13031979857078044,,0.0,-0.06515989928539022,-0.20776019473139715,0.0,0.0,-0.06925339824379904,-1.174349041231367,,0.0,-0.5871745206156835,immune_exclusion,0.2186192868323735
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #3.1,0.08640312231949955,0.0,0.22013981571160285,0.1021809793437008,0.16282620721222238,0.7629165984165684,0.4402796314232057,0.4553408123506655,0.2985265353191202,2.54682056714881,0.0,0.9484490341559768,0.4174027546502865,2.2873295161392875,0.29351975428213717,0.9994173416905703,-0.005326473230810517,-0.37096991771212745,0.29351975428213717,-0.027592212220266938,-0.03172368685595681,-1.0473446818933991,0.09783991809404573,-0.3270761502184367,stromal_encapsulation,0.9994173416905703
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #4.1,-2.0724682110864747,-0.417762286417482,0.0,-0.8300768325013189,0.072735852543416,0.6505049449740786,0.0,0.24108026583916486,0.1653007212045768,0.6667652258538111,-0.016697880458462343,0.2717893555333086,-0.3937277221401398,0.47644287330101914,-0.014842560407522083,0.02262419691778576,-0.047589426854824736,0.637406028719704,0.0,0.19660553395495975,0.28390025665028035,-1.2890482648246029,0.0028838559787464526,-0.33408805073185865,emt_invasive_front,0.2717893555333086
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #1.1,0.6088275227851467,0.0,0.0,0.20294250759504892,0.03144218210512315,0.003192887012726936,0.0,0.011545023039283363,-0.1014242243515721,-0.44445841501608113,0.0,-0.18196087978921774,-0.26017104599304647,0.1839453054296291,0.0,-0.025408580187805785,-0.19187396105683743,-0.37096991771212745,0.0,-0.18761462625632164,-0.8346842054328016,-1.0473446818933991,-1.1102230246251564e-17,-0.6273429624420669,immune_exclusion,0.20294250759504892
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #2.1,0.15651184609971608,0.0,0.0,0.052170615366572026,-0.0736122733785543,-0.2162066780251013,0.0,-0.09660631713455187,0.1643547840905491,-0.5091801808337403,0.0,-0.11494179891439706,0.1934445847529759,-0.6472302040650715,0.0,-0.15126187310403186,0.10979957221344618,-0.37096991771212745,0.0,-0.08705678183289377,-0.10490912797190133,-1.0473446818933991,-1.1102230246251564e-17,-0.3840846032884335,immune_exclusion,0.052170615366572026
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #3.1,-2.0318789137549986,-0.8516878942950071,0.4402796314232057,-0.8144290588756,0.03334103706947724,0.666206367113549,0.8805592628464114,0.5267022223431459,0.3973986214445797,-0.4468531096204651,-0.2876243915373951,-0.1123596265710935,-0.9842052880539413,-0.2651943386423484,0.135693546565165,-0.3712353600437082,0.09971936744262637,0.7566176409964588,0.5870395085642743,0.4811255056677865,0.4631030055450431,0.3324815859723961,0.23037996183580908,0.34198818445108276,myeloid_vascular_belt,0.5267022223431459
