method_source	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	spatial_support_type
stlearn	ADAM17	MUC1	CAFs, DCIS Associated	Endothelial Cells	9673.000000000002	0.999810006709138	97.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	CAFs, Invasive Associated	Endothelial Cells	9673.000000000002	0.9997743829671016	115.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	CXCL14+ Fibroblasts	Endothelial Cells	9673.000000000002	0.999748654708964	128.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Dendritic Cells	Endothelial Cells	9673.000000000002	0.9997189682572668	143.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	11q13 Invasive Tumor Cells	9673.000000000002	0.9997031354830282	151.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	11q13 Invasive Tumor Cells (G1/S)	9673.000000000002	0.9997011563862483	152.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	11q13 Invasive Tumor Cells (Mitotic)	9673.000000000002	0.9996991772894688	153.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	Apocrine Cells	9673.000000000002	0.9996971981926888	154.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	B Cells	9673.000000000002	0.999695219095909	155.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	Basal-like Structured DCIS Cells	9673.000000000002	0.9996932399991292	156.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	CAFs, DCIS Associated	9673.000000000002	0.9996912609023494	157.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	CAFs, Invasive Associated	9673.000000000002	0.9996892818055696	158.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	CXCL14+ Fibroblasts	9673.000000000002	0.9996873027087898	159.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	Dendritic Cells	9673.000000000002	0.99968532361201	160.0	significant_lr_hotspot_neighbor
stlearn	ADAM17	MUC1	Endothelial Cells	Endothelial Cells	9673.000000000002	0.99968334451523	161.0	significant_lr_hotspot_neighbor
pyxenium	VWF	SELP	Endothelial Cells	Endothelial Cells	0.7912892368005828	1.0	1.0	topology_local_contact
pyxenium	VWF	LRP1	Endothelial Cells	CAFs, DCIS Associated	0.7479758913021439	0.9999992421946045	2.0	topology_local_contact
pyxenium	EFNB2	PECAM1	Endothelial Cells	Endothelial Cells	0.7469197326713805	0.9999984843892088	3.0	topology_local_contact
pyxenium	MMRN2	CLEC14A	Endothelial Cells	Endothelial Cells	0.7322091602540813	0.9999962109730222	6.0	topology_local_contact
pyxenium	HSPG2	LRP1	Endothelial Cells	CAFs, DCIS Associated	0.7279607350660221	0.9999954531676264	7.0	topology_local_contact
pyxenium	COL4A2	CD93	Endothelial Cells	Endothelial Cells	0.7118996799523881	0.9999939375568354	9.0	topology_local_contact
