gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
CDH5	Endothelial Cells	8624	1.5839517625231911	0.7467264364101632	0.6681354359925789	1.0	1.0
CDH5	Pericytes	8087	0.31804130085322124	0.18331321858689953	0.20835909484357612	0.24548912379232937	0.31185158520149264
CDH5	Myoepithelial Cells	8438	0.11258592083432092	0.06914656562148529	0.08568381132969898	0.0925995950456806	0.12824317752643596
CDH5	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04955320877335499	0.03306232868860427	0.04508529650690495	0.04427636022577315	0.06747927752092125
CDH5	Myeloid Cells	813	0.04551045510455105	0.03048388617879783	0.041820418204182044	0.04082336541524771	0.06259272589254876
CDH5	Mast Cells	369	0.04878048780487805	0.030374357519283215	0.037940379403794036	0.040676686987681704	0.05678546198860114
CLEC14A	Endothelial Cells	8624	1.3179499072356216	0.6369031538676542	0.589517625231911	1.0	1.0
CLEC14A	Pericytes	8087	0.31643378261407196	0.18263738238775484	0.2093483368368987	0.2867584832618149	0.3551180284975245
CLEC14A	Myeloid Cells	813	0.0959409594095941	0.06317165854360801	0.08487084870848709	0.09918565822761621	0.14396660095633215
CLEC14A	CAFs, Invasive Associated	4001	0.07173206698325418	0.043464894022139454	0.05373656585853537	0.06824411805498969	0.09115345081904189
CLEC14A	11q13 Invasive Tumor Cells (Mitotic)	2462	0.06498781478472786	0.04308085688832249	0.05848903330625508	0.06764114234120203	0.0992150714463304
CLEC14A	Mast Cells	369	0.056910569105691054	0.03944740051967168	0.056910569105691054	0.06193626186355593	0.0965375192697639
COL4A1	Endothelial Cells	8624	2.700139146567718	0.9048369630620658	0.6525974025974026	1.0	1.0
COL4A1	CAFs, Invasive Associated	4001	2.4473881529617594	0.8509496445796532	0.6213446638340415	0.940445272814616	0.9521102311486805
COL4A1	Pericytes	8087	1.5722764931371336	0.6276675671534118	0.5163843205144059	0.6936802902362842	0.7912754762111294
COL4A1	CAFs, DCIS Associated	24442	0.6216348907618034	0.3148296539066432	0.317118075443908	0.347940752598375	0.48593217530708294
COL4A1	Myoepithelial Cells	8438	0.40009480919649204	0.2041310418362406	0.2188907324010429	0.22559980435087348	0.3354146546244836
COL4A1	Basal-like Structured DCIS Cells	8760	0.34714611872146117	0.17871211488231956	0.19075342465753425	0.19750753138724406	0.2922987800722415
COL4A2	Endothelial Cells	8624	1.5338589981447124	0.6631156701479123	0.5666743970315399	1.0	1.0
COL4A2	CAFs, Invasive Associated	4001	1.4781304673831541	0.6262584922935625	0.5351162209447639	0.9444181769281239	0.9443098607382123
COL4A2	Pericytes	8087	1.0337578830221343	0.47680687105694797	0.4361320638061086	0.7190402708332817	0.7696343192682383
COL4A2	CAFs, DCIS Associated	24442	0.5452499795434089	0.3023236262010168	0.33074216512560345	0.45591386210731766	0.5836546822269704
COL4A2	Myoepithelial Cells	8438	0.5319981038160702	0.2915598178462351	0.31879592320455086	0.43968168898979687	0.5625733664244008
COL4A2	Basal-like Structured DCIS Cells	8760	0.4309360730593607	0.23676326583309595	0.2589041095890411	0.357046706165584	0.45688337243623706
EGFL7	Endothelial Cells	8624	2.452690166975881	1.0035401669875532	0.7791048237476809	1.0	1.0
EGFL7	Pericytes	8087	0.43019661184617286	0.24292888523079698	0.27055768517373563	0.2420719102455318	0.34726737266532165
EGFL7	11q13 Invasive Tumor Cells	64036	0.35272346804922233	0.20632754239338008	0.23903741645324506	0.20559968517527125	0.30681034074903785
EGFL7	11q13 Invasive Tumor Cells (Mitotic)	2462	0.27051177904142976	0.16641433283432155	0.20389926888708368	0.16582727658412258	0.2617096732969504
EGFL7	Luminal-like Amorphous DCIS Cells	13028	0.26258827141541297	0.15636267965360173	0.18575376112987413	0.15581108240338234	0.23841947253818047
EGFL7	11q13 Invasive Tumor Cells (G1/S)	2374	0.22325189553496208	0.13498856075824672	0.16385846672283066	0.1345123645259343	0.21031632936712186
EMCN	Endothelial Cells	8624	1.4728664192949907	0.6998725922031905	0.6341604823747681	1.0	1.0
EMCN	Pericytes	8087	0.32274020032150363	0.18769743279690634	0.21491282304933845	0.2681880029135547	0.33889343316465437
EMCN	11q13 Invasive Tumor Cells (Mitotic)	2462	0.09057676685621446	0.05810356918497897	0.0751421608448416	0.08302020943850599	0.11849076524518448
EMCN	Myeloid Cells	813	0.06888068880688807	0.04419065051271903	0.05781057810578106	0.06314099309648259	0.09116080189874856
EMCN	Plasma Cells	873	0.06758304696449026	0.043938901491534656	0.058419243986254296	0.06278128616698007	0.09212059976914556
EMCN	T Lymphocytes	8018	0.05537540533798952	0.0361832253880223	0.04826640059865303	0.051699731909943696	0.07611070374159512
FLT1	Endothelial Cells	8624	1.5473098330241188	0.6990439290126235	0.6168831168831169	1.0	1.0
FLT1	Pericytes	8087	0.3560034623469766	0.20502599888147044	0.2351922839124521	0.29329487085462985	0.38125907076334337
FLT1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.24654752233956134	0.15857726862898391	0.20633631194151097	0.22684878882070986	0.3344820214630809
FLT1	Myeloid Cells	813	0.21648216482164823	0.1342771106539257	0.16851168511685116	0.1920867989563799	0.27316631061047447
FLT1	Apocrine Cells	403	0.15632754342431762	0.10550259078280257	0.14640198511166252	0.1509241213664805	0.2373253232336424
FLT1	Plasma Cells	873	0.145475372279496	0.09496395260953039	0.12600229095074456	0.13584833322801879	0.20425634533068063
GP1BA	Plasma Cells	873	0.038946162657502864	0.025018226465438092	0.032073310423825885	1.0	0.9862542955326459
