gene	available
ADAMTS13	True
ANGPT2	True
CD63	False
CDH5	True
CLEC14A	True
COL4A1	True
COL4A2	True
CXCL8	True
EGFL7	True
EMCN	True
FLT1	True
GP1BA	True
HBA1	False
HBA2	False
HBB	True
IL6	True
ITGA2B	True
KDR	True
MMRN2	True
PECAM1	True
PF4	True
PLAT	True
PPBP	True
RAB27A	True
SELP	True
SERPINE1	True
STXBP5	True
THBD	True
VWF	True
