gene	comparison	n_groups	n_tested_groups	n_contours	top_group	bottom_group	max_mean_log1p_cpm	min_mean_log1p_cpm	delta_log1p_cpm	top_group_mean_cpm	top_group_mean_density_per_um2	bottom_group_mean_density_per_um2	delta_mean_density_per_um2	statistic	p_value	fdr	status
EGFL7	global	5	5	1139	S3	S4	4.804680036977798	1.3373785508474905	3.4673014861303075	423.3019194568631	0.0019858469541595	0.0003161725093621	0.0016696744447974	432.0278640615769	3.3329509376830505e-92	6.008643950455004e-88	ok
VWF	global	5	5	1139	S3	S4	5.020628661297834	1.5442359389718812	3.4763927223259525	834.6454251524909	0.0038910591999415	0.0002958790069091	0.0035951801930323	352.2959670769821	5.600656844467242e-75	2.019372831841109e-71	ok
KDR	global	5	5	1139	S3	S4	4.226675700107819	1.2200049354105766	3.006670764697242	309.2911277209323	0.0018812632652416	0.0003250762085253	0.0015561870567163	330.38267889748926	3.0124594335627617e-70	9.051436444711581e-67	ok
CDH5	global	5	5	1139	S3	S2	3.863934148367407	1.0903173994930502	2.773616748874357	210.98984589426863	0.0011290523902118	0.0002193312433564	0.0009097211468554	320.56802131695275	3.954849381229491e-68	1.018543209211504e-64	ok
PECAM1	global	5	5	1139	S3	S4	5.157117191056077	1.996843705447373	3.160273485608704	633.3939601527172	0.0029350790253146	0.0004599291159983	0.0024751499093163	315.9159670587145	3.990264877394641e-67	8.992061901208823e-64	ok
CLEC14A	global	5	5	1139	S3	S4	3.634574343703689	0.8446227302755633	2.789951613428125	178.8335438700119	0.0009642938654709	5.018741582537839e-05	0.0009141064496455	314.5552882526095	7.845246731497956e-67	1.5714900897271686e-63	ok
EMCN	global	5	5	1139	S3	S4	3.8503442402682073	1.0435189068906263	2.806825333377581	192.95492797093976	0.0009975061381043	8.23014986431847e-05	0.0009152046394611	303.9283919499202	1.5394941022605763e-64	2.1349230519656667e-61	ok
MMRN2	global	5	5	1139	S3	S2	3.4741212854166084	1.0214335324252777	2.4526877529913307	160.23970114129477	0.0007383626445066	0.0001853297274481	0.0005530329170584	270.8448697013651	2.0973437439174735e-57	1.5754547089726758e-54	ok
FLT1	global	5	5	1139	S3	S4	3.9346412877865737	1.6780983886404557	2.256542899146118	207.5776609877416	0.0012733237390375	0.0003093943253511	0.0009639294136863	218.6979058455317	3.5737268931754624e-46	6.711161294809087e-44	ok
