feature	classification_name	mean_value	median_value	n_contours
rna__core__emcn	S1 11q13 Invasive Tumor Cells #3.1			0
rna__core__emcn	S2 Basal-like Structured DCIS Cells #3.1			0
rna__core__emcn	S3 Macrophages #1.1			0
rna__core__emcn	S5 Endothelial Cells #3.1			0
rna__core__emcn	S6 Apocrine Cells #2.1			0
rna__core__emcn	S6 Apocrine Cells #3.1			0
rna__core__emcn	S6 Apocrine Cells #4.1			0
rna__core__emcn	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__core__kdr	S3 Macrophages #3.1	0.2276267642965102	0.2276267642965102	1
rna__core__kdr	S2 Basal-like Structured DCIS Cells #1.1	0.1896739558093959	0.1896739558093959	1
rna__core__kdr	S7 Luminal-like Amorphous DCIS Cells #1.1	0.1486896890224372	0.1486896890224372	1
rna__core__kdr	S1 11q13 Invasive Tumor Cells #1.1	0.0609674667041961	0.0609674667041961	1
rna__core__kdr	S1 11q13 Invasive Tumor Cells #4.1	0.0591450324805104	0.0591450324805104	1
rna__core__kdr	S2 Basal-like Structured DCIS Cells #4.1	0.0387490002578629	0.0387490002578629	1
rna__core__kdr	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
rna__core__kdr	S3 Macrophages #2.1	0.0	0.0	1
rna__core__kdr	S3 Macrophages #4.1	0.0	0.0	1
rna__core__kdr	S4 Plasma Cells #1.1	0.0	0.0	1
rna__core__kdr	S4 Plasma Cells #2.1	0.0	0.0	1
rna__core__kdr	S4 Plasma Cells #3.1	0.0	0.0	1
rna__core__kdr	S4 Plasma Cells #4.1	0.0	0.0	1
rna__core__kdr	S5 Endothelial Cells #1.1	0.0	0.0	1
rna__core__kdr	S5 Endothelial Cells #2.1	0.0	0.0	1
rna__core__kdr	S5 Endothelial Cells #4.1	0.0	0.0	1
rna__core__kdr	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__core__kdr	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__core__kdr	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
rna__core__kdr	S1 11q13 Invasive Tumor Cells #2.1			0
rna__core__kdr	S1 11q13 Invasive Tumor Cells #3.1			0
rna__core__kdr	S2 Basal-like Structured DCIS Cells #3.1			0
rna__core__kdr	S3 Macrophages #1.1			0
rna__core__kdr	S5 Endothelial Cells #3.1			0
rna__core__kdr	S6 Apocrine Cells #2.1			0
rna__core__kdr	S6 Apocrine Cells #3.1			0
rna__core__kdr	S6 Apocrine Cells #4.1			0
rna__core__kdr	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__core__pecam1	S4 Plasma Cells #2.1	1.0051004849450509	1.0051004849450509	1
rna__core__pecam1	S3 Macrophages #3.1	0.4993899732201639	0.4993899732201639	1
rna__core__pecam1	S2 Basal-like Structured DCIS Cells #4.1	0.1794382106059742	0.1794382106059742	1
rna__core__pecam1	S1 11q13 Invasive Tumor Cells #1.1	0.1081066595437506	0.1081066595437506	1
rna__core__pecam1	S7 Luminal-like Amorphous DCIS Cells #1.1	0.1074789947521153	0.1074789947521153	1
rna__core__pecam1	S1 11q13 Invasive Tumor Cells #4.1	0.0977796034293628	0.0977796034293628	1
rna__core__pecam1	S2 Basal-like Structured DCIS Cells #1.1	0.0	0.0	1
rna__core__pecam1	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
rna__core__pecam1	S3 Macrophages #2.1	0.0	0.0	1
rna__core__pecam1	S3 Macrophages #4.1	0.0	0.0	1
rna__core__pecam1	S4 Plasma Cells #1.1	0.0	0.0	1
rna__core__pecam1	S4 Plasma Cells #3.1	0.0	0.0	1
rna__core__pecam1	S4 Plasma Cells #4.1	0.0	0.0	1
rna__core__pecam1	S5 Endothelial Cells #1.1	0.0	0.0	1
rna__core__pecam1	S5 Endothelial Cells #2.1	0.0	0.0	1
rna__core__pecam1	S5 Endothelial Cells #4.1	0.0	0.0	1
rna__core__pecam1	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__core__pecam1	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__core__pecam1	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
rna__core__pecam1	S1 11q13 Invasive Tumor Cells #2.1			0
rna__core__pecam1	S1 11q13 Invasive Tumor Cells #3.1			0
rna__core__pecam1	S2 Basal-like Structured DCIS Cells #3.1			0
rna__core__pecam1	S3 Macrophages #1.1			0
rna__core__pecam1	S5 Endothelial Cells #3.1			0
rna__core__pecam1	S6 Apocrine Cells #2.1			0
rna__core__pecam1	S6 Apocrine Cells #3.1			0
rna__core__pecam1	S6 Apocrine Cells #4.1			0
rna__core__pecam1	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__inner_rim__emcn	S6 Apocrine Cells #4.1	0.5873915102460823	0.5873915102460823	1
rna__inner_rim__emcn	S4 Plasma Cells #4.1	0.361620937806237	0.361620937806237	1
rna__inner_rim__emcn	S1 11q13 Invasive Tumor Cells #4.1	0.1529428056690538	0.1529428056690538	1
rna__inner_rim__emcn	S3 Macrophages #3.1	0.126131440881904	0.126131440881904	1
rna__inner_rim__emcn	S1 11q13 Invasive Tumor Cells #1.1	0.0664236633822861	0.0664236633822861	1
rna__inner_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #1.1	0.0633648018984727	0.0633648018984727	1
rna__inner_rim__emcn	S2 Basal-like Structured DCIS Cells #1.1	0.0586423751840041	0.0586423751840041	1
rna__inner_rim__emcn	S2 Basal-like Structured DCIS Cells #4.1	0.0	0.0	1
rna__inner_rim__emcn	S4 Plasma Cells #1.1	0.0	0.0	1
rna__inner_rim__emcn	S4 Plasma Cells #2.1	0.0	0.0	1
rna__inner_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__inner_rim__emcn	S1 11q13 Invasive Tumor Cells #2.1			0
rna__inner_rim__emcn	S1 11q13 Invasive Tumor Cells #3.1			0
rna__inner_rim__emcn	S2 Basal-like Structured DCIS Cells #2.1			0
rna__inner_rim__emcn	S2 Basal-like Structured DCIS Cells #3.1			0
rna__inner_rim__emcn	S3 Macrophages #1.1			0
rna__inner_rim__emcn	S3 Macrophages #2.1			0
rna__inner_rim__emcn	S3 Macrophages #4.1			0
rna__inner_rim__emcn	S4 Plasma Cells #3.1			0
rna__inner_rim__emcn	S5 Endothelial Cells #1.1			0
rna__inner_rim__emcn	S5 Endothelial Cells #2.1			0
rna__inner_rim__emcn	S5 Endothelial Cells #3.1			0
rna__inner_rim__emcn	S5 Endothelial Cells #4.1			0
rna__inner_rim__emcn	S6 Apocrine Cells #1.1			0
rna__inner_rim__emcn	S6 Apocrine Cells #2.1			0
rna__inner_rim__emcn	S6 Apocrine Cells #3.1			0
rna__inner_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__inner_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #4.1			0
rna__inner_rim__kdr	S6 Apocrine Cells #4.1	0.6624982390273867	0.6624982390273867	1
rna__inner_rim__kdr	S4 Plasma Cells #4.1	0.4899576477799841	0.4899576477799841	1
rna__inner_rim__kdr	S3 Macrophages #3.1	0.2160176013228679	0.2160176013228679	1
rna__inner_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #1.1	0.1529406674063038	0.1529406674063038	1
rna__inner_rim__kdr	S1 11q13 Invasive Tumor Cells #4.1	0.1257482601571136	0.1257482601571136	1
rna__inner_rim__kdr	S2 Basal-like Structured DCIS Cells #1.1	0.1017190727375099	0.1017190727375099	1
rna__inner_rim__kdr	S1 11q13 Invasive Tumor Cells #1.1	0.0889971411194097	0.0889971411194097	1
rna__inner_rim__kdr	S2 Basal-like Structured DCIS Cells #4.1	0.0	0.0	1
rna__inner_rim__kdr	S4 Plasma Cells #1.1	0.0	0.0	1
rna__inner_rim__kdr	S4 Plasma Cells #2.1	0.0	0.0	1
rna__inner_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__inner_rim__kdr	S1 11q13 Invasive Tumor Cells #2.1			0
rna__inner_rim__kdr	S1 11q13 Invasive Tumor Cells #3.1			0
rna__inner_rim__kdr	S2 Basal-like Structured DCIS Cells #2.1			0
rna__inner_rim__kdr	S2 Basal-like Structured DCIS Cells #3.1			0
rna__inner_rim__kdr	S3 Macrophages #1.1			0
rna__inner_rim__kdr	S3 Macrophages #2.1			0
rna__inner_rim__kdr	S3 Macrophages #4.1			0
rna__inner_rim__kdr	S4 Plasma Cells #3.1			0
rna__inner_rim__kdr	S5 Endothelial Cells #1.1			0
rna__inner_rim__kdr	S5 Endothelial Cells #2.1			0
rna__inner_rim__kdr	S5 Endothelial Cells #3.1			0
rna__inner_rim__kdr	S5 Endothelial Cells #4.1			0
rna__inner_rim__kdr	S6 Apocrine Cells #1.1			0
rna__inner_rim__kdr	S6 Apocrine Cells #2.1			0
rna__inner_rim__kdr	S6 Apocrine Cells #3.1			0
rna__inner_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__inner_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #4.1			0
rna__inner_rim__pecam1	S4 Plasma Cells #4.1	0.7163328252423268	0.7163328252423268	1
rna__inner_rim__pecam1	S6 Apocrine Cells #4.1	0.4091528053887573	0.4091528053887573	1
rna__inner_rim__pecam1	S3 Macrophages #3.1	0.3244235527877167	0.3244235527877167	1
rna__inner_rim__pecam1	S1 11q13 Invasive Tumor Cells #1.1	0.230085777377728	0.230085777377728	1
rna__inner_rim__pecam1	S1 11q13 Invasive Tumor Cells #4.1	0.1713339235243716	0.1713339235243716	1
rna__inner_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #1.1	0.140544013718553	0.140544013718553	1
rna__inner_rim__pecam1	S2 Basal-like Structured DCIS Cells #1.1	0.132202398894343	0.132202398894343	1
rna__inner_rim__pecam1	S2 Basal-like Structured DCIS Cells #4.1	0.0	0.0	1
rna__inner_rim__pecam1	S4 Plasma Cells #1.1	0.0	0.0	1
rna__inner_rim__pecam1	S4 Plasma Cells #2.1	0.0	0.0	1
rna__inner_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__inner_rim__pecam1	S1 11q13 Invasive Tumor Cells #2.1			0
rna__inner_rim__pecam1	S1 11q13 Invasive Tumor Cells #3.1			0
rna__inner_rim__pecam1	S2 Basal-like Structured DCIS Cells #2.1			0
rna__inner_rim__pecam1	S2 Basal-like Structured DCIS Cells #3.1			0
rna__inner_rim__pecam1	S3 Macrophages #1.1			0
rna__inner_rim__pecam1	S3 Macrophages #2.1			0
rna__inner_rim__pecam1	S3 Macrophages #4.1			0
rna__inner_rim__pecam1	S4 Plasma Cells #3.1			0
rna__inner_rim__pecam1	S5 Endothelial Cells #1.1			0
rna__inner_rim__pecam1	S5 Endothelial Cells #2.1			0
rna__inner_rim__pecam1	S5 Endothelial Cells #3.1			0
rna__inner_rim__pecam1	S5 Endothelial Cells #4.1			0
rna__inner_rim__pecam1	S6 Apocrine Cells #1.1			0
rna__inner_rim__pecam1	S6 Apocrine Cells #2.1			0
rna__inner_rim__pecam1	S6 Apocrine Cells #3.1			0
rna__inner_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__inner_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #4.1			0
rna__outer_rim__emcn	S5 Endothelial Cells #3.1	1.279897827821988	1.279897827821988	1
rna__outer_rim__emcn	S4 Plasma Cells #3.1	0.6679912724723958	0.6679912724723958	1
rna__outer_rim__emcn	S4 Plasma Cells #4.1	0.5743377684390826	0.5743377684390826	1
rna__outer_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #1.1	0.3614537178064838	0.3614537178064838	1
rna__outer_rim__emcn	S3 Macrophages #3.1	0.355195862880829	0.355195862880829	1
rna__outer_rim__emcn	S2 Basal-like Structured DCIS Cells #4.1	0.2353542826539352	0.2353542826539352	1
rna__outer_rim__emcn	S4 Plasma Cells #2.1	0.2283643672023154	0.2283643672023154	1
rna__outer_rim__emcn	S5 Endothelial Cells #4.1	0.2125733294076071	0.2125733294076071	1
rna__outer_rim__emcn	S4 Plasma Cells #1.1	0.1984497855493979	0.1984497855493979	1
rna__outer_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #2.1	0.1870063913186551	0.1870063913186551	1
rna__outer_rim__emcn	S6 Apocrine Cells #1.1	0.1777395642434243	0.1777395642434243	1
rna__outer_rim__emcn	S2 Basal-like Structured DCIS Cells #1.1	0.1659020507854718	0.1659020507854718	1
rna__outer_rim__emcn	S1 11q13 Invasive Tumor Cells #1.1	0.14446090366206	0.14446090366206	1
rna__outer_rim__emcn	S6 Apocrine Cells #2.1	0.1289637759551252	0.1289637759551252	1
rna__outer_rim__emcn	S1 11q13 Invasive Tumor Cells #4.1	0.1132410808072172	0.1132410808072172	1
rna__outer_rim__emcn	S1 11q13 Invasive Tumor Cells #3.1	0.0	0.0	1
rna__outer_rim__emcn	S2 Basal-like Structured DCIS Cells #3.1	0.0	0.0	1
rna__outer_rim__emcn	S3 Macrophages #1.1	0.0	0.0	1
rna__outer_rim__emcn	S3 Macrophages #2.1	0.0	0.0	1
rna__outer_rim__emcn	S3 Macrophages #4.1	0.0	0.0	1
rna__outer_rim__emcn	S6 Apocrine Cells #4.1	0.0	0.0	1
rna__outer_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #3.1	0.0	0.0	1
rna__outer_rim__emcn	S1 11q13 Invasive Tumor Cells #2.1			0
rna__outer_rim__emcn	S2 Basal-like Structured DCIS Cells #2.1			0
rna__outer_rim__emcn	S5 Endothelial Cells #1.1			0
rna__outer_rim__emcn	S5 Endothelial Cells #2.1			0
rna__outer_rim__emcn	S6 Apocrine Cells #3.1			0
rna__outer_rim__emcn	S7 Luminal-like Amorphous DCIS Cells #4.1			0
rna__outer_rim__kdr	S3 Macrophages #2.1	2.1880331736972054	2.1880331736972054	1
rna__outer_rim__kdr	S5 Endothelial Cells #4.1	1.082245528511163	1.082245528511163	1
rna__outer_rim__kdr	S4 Plasma Cells #3.1	0.902328828711564	0.902328828711564	1
rna__outer_rim__kdr	S4 Plasma Cells #2.1	0.7233873071937582	0.7233873071937582	1
rna__outer_rim__kdr	S4 Plasma Cells #1.1	0.4475273128209102	0.4475273128209102	1
rna__outer_rim__kdr	S4 Plasma Cells #4.1	0.3961003301357655	0.3961003301357655	1
rna__outer_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #1.1	0.3899297316432598	0.3899297316432598	1
rna__outer_rim__kdr	S3 Macrophages #3.1	0.3362230326719619	0.3362230326719619	1
rna__outer_rim__kdr	S2 Basal-like Structured DCIS Cells #4.1	0.2720449941665531	0.2720449941665531	1
rna__outer_rim__kdr	S1 11q13 Invasive Tumor Cells #1.1	0.2163950367835546	0.2163950367835546	1
rna__outer_rim__kdr	S2 Basal-like Structured DCIS Cells #1.1	0.2139253640956269	0.2139253640956269	1
rna__outer_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #2.1	0.186163694262481	0.186163694262481	1
rna__outer_rim__kdr	S6 Apocrine Cells #4.1	0.1291936208772156	0.1291936208772156	1
rna__outer_rim__kdr	S1 11q13 Invasive Tumor Cells #4.1	0.1203917260732285	0.1203917260732285	1
rna__outer_rim__kdr	S1 11q13 Invasive Tumor Cells #3.1	0.0	0.0	1
rna__outer_rim__kdr	S2 Basal-like Structured DCIS Cells #3.1	0.0	0.0	1
rna__outer_rim__kdr	S3 Macrophages #1.1	0.0	0.0	1
rna__outer_rim__kdr	S3 Macrophages #4.1	0.0	0.0	1
rna__outer_rim__kdr	S5 Endothelial Cells #3.1	0.0	0.0	1
rna__outer_rim__kdr	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__outer_rim__kdr	S6 Apocrine Cells #2.1	0.0	0.0	1
rna__outer_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #3.1	0.0	0.0	1
rna__outer_rim__kdr	S1 11q13 Invasive Tumor Cells #2.1			0
rna__outer_rim__kdr	S2 Basal-like Structured DCIS Cells #2.1			0
rna__outer_rim__kdr	S5 Endothelial Cells #1.1			0
rna__outer_rim__kdr	S5 Endothelial Cells #2.1			0
rna__outer_rim__kdr	S6 Apocrine Cells #3.1			0
rna__outer_rim__kdr	S7 Luminal-like Amorphous DCIS Cells #4.1			0
rna__outer_rim__pecam1	S5 Endothelial Cells #4.1	1.5854461321978617	1.5854461321978617	1
rna__outer_rim__pecam1	S4 Plasma Cells #3.1	1.2989100596986898	1.2989100596986898	1
rna__outer_rim__pecam1	S4 Plasma Cells #4.1	1.172241823330317	1.172241823330317	1
rna__outer_rim__pecam1	S4 Plasma Cells #1.1	0.8449618957576507	0.8449618957576507	1
rna__outer_rim__pecam1	S3 Macrophages #3.1	0.689337109917815	0.689337109917815	1
rna__outer_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #1.1	0.5503225422813688	0.5503225422813688	1
rna__outer_rim__pecam1	S2 Basal-like Structured DCIS Cells #4.1	0.5265641971492074	0.5265641971492074	1
rna__outer_rim__pecam1	S1 11q13 Invasive Tumor Cells #4.1	0.3933872310669178	0.3933872310669178	1
rna__outer_rim__pecam1	S6 Apocrine Cells #1.1	0.3922609619185822	0.3922609619185822	1
rna__outer_rim__pecam1	S2 Basal-like Structured DCIS Cells #1.1	0.3904484089660468	0.3904484089660468	1
rna__outer_rim__pecam1	S1 11q13 Invasive Tumor Cells #1.1	0.3063421846939932	0.3063421846939932	1
rna__outer_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #2.1	0.1557196622786285	0.1557196622786285	1
rna__outer_rim__pecam1	S6 Apocrine Cells #2.1	0.1066094431927571	0.1066094431927571	1
rna__outer_rim__pecam1	S1 11q13 Invasive Tumor Cells #3.1	0.0	0.0	1
rna__outer_rim__pecam1	S2 Basal-like Structured DCIS Cells #3.1	0.0	0.0	1
rna__outer_rim__pecam1	S3 Macrophages #1.1	0.0	0.0	1
rna__outer_rim__pecam1	S3 Macrophages #2.1	0.0	0.0	1
rna__outer_rim__pecam1	S3 Macrophages #4.1	0.0	0.0	1
rna__outer_rim__pecam1	S4 Plasma Cells #2.1	0.0	0.0	1
rna__outer_rim__pecam1	S5 Endothelial Cells #3.1	0.0	0.0	1
rna__outer_rim__pecam1	S6 Apocrine Cells #4.1	0.0	0.0	1
rna__outer_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #3.1	0.0	0.0	1
rna__outer_rim__pecam1	S1 11q13 Invasive Tumor Cells #2.1			0
rna__outer_rim__pecam1	S2 Basal-like Structured DCIS Cells #2.1			0
rna__outer_rim__pecam1	S5 Endothelial Cells #1.1			0
rna__outer_rim__pecam1	S5 Endothelial Cells #2.1			0
rna__outer_rim__pecam1	S6 Apocrine Cells #3.1			0
rna__outer_rim__pecam1	S7 Luminal-like Amorphous DCIS Cells #4.1			0
rna__whole__emcn	S6 Apocrine Cells #4.1	0.5873915102460823	0.5873915102460823	1
rna__whole__emcn	S4 Plasma Cells #4.1	0.2664575331203851	0.2664575331203851	1
rna__whole__emcn	S4 Plasma Cells #2.1	0.2200430992908991	0.2200430992908991	1
rna__whole__emcn	S1 11q13 Invasive Tumor Cells #4.1	0.0956435094048905	0.0956435094048905	1
rna__whole__emcn	S3 Macrophages #3.1	0.0896934690715761	0.0896934690715761	1
rna__whole__emcn	S1 11q13 Invasive Tumor Cells #1.1	0.072856142025969	0.072856142025969	1
rna__whole__emcn	S7 Luminal-like Amorphous DCIS Cells #1.1	0.06744844156323	0.06744844156323	1
rna__whole__emcn	S2 Basal-like Structured DCIS Cells #4.1	0.0443566877942554	0.0443566877942554	1
rna__whole__emcn	S2 Basal-like Structured DCIS Cells #1.1	0.0341192001070569	0.0341192001070569	1
rna__whole__emcn	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
rna__whole__emcn	S3 Macrophages #2.1	0.0	0.0	1
rna__whole__emcn	S3 Macrophages #4.1	0.0	0.0	1
rna__whole__emcn	S4 Plasma Cells #1.1	0.0	0.0	1
rna__whole__emcn	S4 Plasma Cells #3.1	0.0	0.0	1
rna__whole__emcn	S5 Endothelial Cells #1.1	0.0	0.0	1
rna__whole__emcn	S5 Endothelial Cells #2.1	0.0	0.0	1
rna__whole__emcn	S5 Endothelial Cells #4.1	0.0	0.0	1
rna__whole__emcn	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__whole__emcn	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__whole__emcn	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
rna__whole__emcn	S1 11q13 Invasive Tumor Cells #2.1			0
rna__whole__emcn	S1 11q13 Invasive Tumor Cells #3.1			0
rna__whole__emcn	S2 Basal-like Structured DCIS Cells #3.1			0
rna__whole__emcn	S3 Macrophages #1.1			0
rna__whole__emcn	S5 Endothelial Cells #3.1			0
rna__whole__emcn	S6 Apocrine Cells #2.1			0
rna__whole__emcn	S6 Apocrine Cells #3.1			0
rna__whole__emcn	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__whole__kdr	S6 Apocrine Cells #4.1	0.6624982390273867	0.6624982390273867	1
rna__whole__kdr	S4 Plasma Cells #4.1	0.3610214246799882	0.3610214246799882	1
rna__whole__kdr	S3 Macrophages #3.1	0.2193713595152535	0.2193713595152535	1
rna__whole__kdr	S7 Luminal-like Amorphous DCIS Cells #1.1	0.1506500575664022	0.1506500575664022	1
rna__whole__kdr	S2 Basal-like Structured DCIS Cells #1.1	0.1385002056584804	0.1385002056584804	1
rna__whole__kdr	S1 11q13 Invasive Tumor Cells #4.1	0.0780949047901716	0.0780949047901716	1
rna__whole__kdr	S1 11q13 Invasive Tumor Cells #1.1	0.0774115423611214	0.0774115423611214	1
rna__whole__kdr	S2 Basal-like Structured DCIS Cells #4.1	0.0232494001547177	0.0232494001547177	1
rna__whole__kdr	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
rna__whole__kdr	S3 Macrophages #2.1	0.0	0.0	1
rna__whole__kdr	S3 Macrophages #4.1	0.0	0.0	1
rna__whole__kdr	S4 Plasma Cells #1.1	0.0	0.0	1
rna__whole__kdr	S4 Plasma Cells #2.1	0.0	0.0	1
rna__whole__kdr	S4 Plasma Cells #3.1	0.0	0.0	1
rna__whole__kdr	S5 Endothelial Cells #1.1	0.0	0.0	1
rna__whole__kdr	S5 Endothelial Cells #2.1	0.0	0.0	1
rna__whole__kdr	S5 Endothelial Cells #4.1	0.0	0.0	1
rna__whole__kdr	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__whole__kdr	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__whole__kdr	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
rna__whole__kdr	S1 11q13 Invasive Tumor Cells #2.1			0
rna__whole__kdr	S1 11q13 Invasive Tumor Cells #3.1			0
rna__whole__kdr	S2 Basal-like Structured DCIS Cells #3.1			0
rna__whole__kdr	S3 Macrophages #1.1			0
rna__whole__kdr	S5 Endothelial Cells #3.1			0
rna__whole__kdr	S6 Apocrine Cells #2.1			0
rna__whole__kdr	S6 Apocrine Cells #3.1			0
rna__whole__kdr	S7 Luminal-like Amorphous DCIS Cells #3.1			0
rna__whole__pecam1	S4 Plasma Cells #4.1	0.5278241870206619	0.5278241870206619	1
rna__whole__pecam1	S4 Plasma Cells #2.1	0.5025502424725253	0.5025502424725253	1
rna__whole__pecam1	S6 Apocrine Cells #4.1	0.4091528053887573	0.4091528053887573	1
rna__whole__pecam1	S3 Macrophages #3.1	0.3749694075793126	0.3749694075793126	1
rna__whole__pecam1	S1 11q13 Invasive Tumor Cells #1.1	0.1796677420063506	0.1796677420063506	1
rna__whole__pecam1	S7 Luminal-like Amorphous DCIS Cells #1.1	0.1227271605234147	0.1227271605234147	1
rna__whole__pecam1	S1 11q13 Invasive Tumor Cells #4.1	0.1187071924103694	0.1187071924103694	1
rna__whole__pecam1	S2 Basal-like Structured DCIS Cells #4.1	0.1076629263635845	0.1076629263635845	1
rna__whole__pecam1	S2 Basal-like Structured DCIS Cells #1.1	0.0769177593567086	0.0769177593567086	1
rna__whole__pecam1	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
rna__whole__pecam1	S3 Macrophages #2.1	0.0	0.0	1
rna__whole__pecam1	S3 Macrophages #4.1	0.0	0.0	1
rna__whole__pecam1	S4 Plasma Cells #1.1	0.0	0.0	1
rna__whole__pecam1	S4 Plasma Cells #3.1	0.0	0.0	1
rna__whole__pecam1	S5 Endothelial Cells #1.1	0.0	0.0	1
rna__whole__pecam1	S5 Endothelial Cells #2.1	0.0	0.0	1
rna__whole__pecam1	S5 Endothelial Cells #4.1	0.0	0.0	1
rna__whole__pecam1	S6 Apocrine Cells #1.1	0.0	0.0	1
rna__whole__pecam1	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
rna__whole__pecam1	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
rna__whole__pecam1	S1 11q13 Invasive Tumor Cells #2.1			0
rna__whole__pecam1	S1 11q13 Invasive Tumor Cells #3.1			0
rna__whole__pecam1	S2 Basal-like Structured DCIS Cells #3.1			0
rna__whole__pecam1	S3 Macrophages #1.1			0
rna__whole__pecam1	S5 Endothelial Cells #3.1			0
rna__whole__pecam1	S6 Apocrine Cells #2.1			0
rna__whole__pecam1	S6 Apocrine Cells #3.1			0
rna__whole__pecam1	S7 Luminal-like Amorphous DCIS Cells #3.1			0
