ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
TGFB1	CAV1	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.8649048900453102	0.942159351720962	1.0	0.5918084951805068	1.0	0.0342083039746287	0.023189086261314	0.576176655477865	0.0026606150716018	12779	1.0	0.5045461938648708	TGFB1-CAV1
EFNB2	EPHB4	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8640667164982425	0.6648935249696268	0.6198216015396206	1.0	1.0	0.0458754802065561	0.0420831251041146	1.0	0.0124937531234382	6003	1.0	0.5037222549989112	EFNB2-EPHB4
COL1A1	FLT4	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.8000749918915362	0.9543253685877712	0.6198216015396206	1.0	1.0	0.0339706906439564	0.15792	1.0	0.02528	3125	1.0	0.5023808391917635	COL1A1-FLT4
PIGF	FLT1	11q13 Invasive Tumor Cells	Endothelial Cells	recompute	recompute	recompute	0.6653395289788914	0.878254460598671	0.6198216015396206	1.0	1.0	0.0443546418437662	0.1000482492417976	0.5339156082583775	0.0337055417700579	4836	1.0	0.5023174515561456	PIGF-FLT1
MMP2	FGFR1	CAFs, DCIS Associated	CAFs, DCIS Associated	recompute	recompute	recompute	0.718867305289982	0.4641069318491019	1.0	1.0	0.4303933228209591	0.1115416163281979	0.0357408734004692	1.0	0.0124415321731069	94924	1.0	0.5020668569019086	MMP2-FGFR1
GNAI2	EDNRB	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.7735961974965406	0.938846544584582	1.0	0.3233587079699547	1.0	0.06764372418751	0.0290059211727573	0.4479508858099255	0.0133813287424681	12779	1.0	0.5013836693150748	GNAI2-EDNRB
EFNB2	EPHB3	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8640667164982425	0.6641351086111176	0.6198216015396206	1.0	1.0	0.044635372755537	0.0412918540729635	1.0	0.0118274196235215	6003	1.0	0.5013314526919798	EFNB2-EPHB3
CCN1	TLR2	CAFs, DCIS Associated	Dendritic Cells	recompute	recompute	recompute	0.7324582304061453	0.8595466123153722	0.6198216015396206	1.0	1.0	0.0406724783890773	0.0599012616566097	0.8987299494876339	0.0296215030170049	3646	1.0	0.5013064538659543	CCN1-TLR2
VEGFD	NRP2	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.8761814144878589	0.9203895326570776	0.7204611100467462	1.0	1.0	0.0270740370422761	0.0105063832386537	1.0	0.0007330034817665	16371	1.0	0.500558578919242	VEGFD-NRP2
GNAI2	ADRA2A	Endothelial Cells	Pericytes	recompute	recompute	recompute	0.7735961974965406	0.8941255498491281	0.946515890536252	0.3233587079699547	1.0	0.0736576662264894	0.0342150745525382	1.0	0.0089638808331136	11379	1.0	0.4998318095198079	GNAI2-ADRA2A
TNC	PTPRB	Myoepithelial Cells	Endothelial Cells	recompute	recompute	recompute	0.6297300084966121	0.8847382219351696	0.7204611100467462	1.0	1.0	0.0386199340964413	0.1526201602136181	1.0	0.0631953716065865	2247	1.0	0.4993425386365594	TNC-PTPRB
EFNB2	EPHA3	Endothelial Cells	Pericytes	recompute	recompute	recompute	0.8640667164982425	0.882309277375474	0.946515890536252	1.0	0.4980639315187267	0.0425262734237432	0.0193778012127603	1.0	0.0029879602777045	11379	1.0	0.4981648683049428	EFNB2-EPHA3
TGFB3	ENG	Pericytes	Endothelial Cells	recompute	recompute	recompute	0.917748942725502	0.925235419826512	0.946515890536252	0.3145327754338912	1.0	0.0598503496821663	0.039950936126663	0.3909524678510049	0.0159833845042441	11074	1.0	0.4973240473737859	TGFB3-ENG
JAG1	NOTCH4	11q13 Invasive Tumor Cells	Endothelial Cells	recompute	recompute	recompute	0.7941469661104034	0.896164124004365	0.6198216015396206	1.0	1.0	0.0342423145078773	0.075209736500059	0.582798311690266	0.0184036393713813	4836	1.0	0.4971869656696073	JAG1-NOTCH4
APOE	SCARB1	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.4626002410305797	0.9252108023241044	0.7204611100467462	0.8609101090958583	1.0	0.0567604517890263	0.0321707083664202	0.3447271309404986	0.0093457943925233	16371	1.0	0.4969852218332637	APOE-SCARB1
VWF	TNFRSF11B	Endothelial Cells	Pericytes	recompute	recompute	recompute	0.955713094717548	0.8758981663817111	0.946515890536252	1.0	0.2715838926278975	0.0699538759134335	0.025453586750713	1.0	0.0080850689867299	11379	1.0	0.4969020919706757	VWF-TNFRSF11B
CXCL12	AVPR1A	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.8924110508951895	0.9400086057796758	0.7204611100467462	1.0	0.2945152977059705	0.0845386535687891	0.029961517317207	1.0	0.0071467839472237	16371	1.0	0.4968726558436911	CXCL12-AVPR1A
CXCL12	CD4	CAFs, DCIS Associated	T Lymphocytes	recompute	recompute	recompute	0.8924110508951895	0.8718601078572894	0.6198216015396206	1.0	0.3481093356688172	0.089598458460093	0.0412423093395167	1.0	0.0127542226818338	11604	1.0	0.4968391278709829	CXCL12-CD4
VEGFC	ITGB1	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8718210606749883	0.6642340671438188	0.6198216015396206	1.0	1.0	0.041710542299566	0.0433354751195831	1.0	0.0103281692487089	6003	1.0	0.49645154080021	VEGFC-ITGB1
FAT4	DCHS1	Endothelial Cells	CAFs, DCIS Associated	recompute	recompute	recompute	0.9412819417209616	0.7351978760198272	0.7204611100467462	0.6061440581241835	1.0	0.0491053963957835	0.0214459905322048	1.0	0.0026538516712092	13942	1.0	0.4957240059456873	FAT4-DCHS1
HSPG2	SDC1	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8818165186409654	0.7896818091710402	0.6198216015396206	1.0	1.0	0.0343300658773324	0.0213226719973346	1.0	0.0069965017491254	6003	1.0	0.4955969711658548	HSPG2-SDC1
