cell_id	cell_type	x	y	VWF	SELP	vwf_norm	selp_norm	ee_neighbor_count	active_sender_edges	active_receiver_edges	hotspot_score
jblegpmg-1	Endothelial Cells	6715.94873046875	2118.8994140625	43.0	10.0	0.8792129189433595	0.7545168838552492	1	1	1	1.0
jbngdccj-1	Endothelial Cells	6679.9208984375	2114.8984375	46.0	9.0	0.8945374938193158	0.7245267751622539	1	1	1	0.994440600477258
jbngbknd-1	Endothelial Cells	6695.2626953125	2116.194580078125	60.0	14.0	0.955114240875238	0.8521096072201276	1	1	1	0.994440600477258
kdcjllgl-1	Endothelial Cells	8955.6484375	2557.096435546875	65.0	13.0	0.973418071358077	0.8304004496130023	1	1	1	0.8870965121106877
kfomkfge-1	Endothelial Cells	9107.484375	1735.7442626953125	42.0	11.0	0.8738715689110382	0.7818957080144684	3	2	3	0.8607453283729789
kfondbmn-1	Endothelial Cells	9121.3779296875	1743.0736083984375	32.0	6.0	0.8123732996016326	0.6122961576274708	3	2	3	0.8347283873416151
ldjmlmjd-1	Endothelial Cells	8860.416015625	918.8212890625	18.0	6.0	0.6841065168404427	0.6122961576274708	1	1	1	0.8317185661863069
ldjmjcdp-1	Endothelial Cells	8846.4267578125	919.4908447265624	38.0	9.0	0.8511863939776757	0.7245267751622539	1	1	1	0.8317185661863069
kfomjpao-1	Endothelial Cells	9078.103515625	1721.5621337890625	36.0	14.0	0.8389552282435554	0.8521096072201276	2	1	2	0.8310841496184885
fakgkede-1	Endothelial Cells	4682.47216796875	2978.377197265625	30.0	5.0	0.7978474140428734	0.5637914160289369	1	1	1	0.8288812002211119
iinleigg-1	Endothelial Cells	5756.00048828125	3213.0107421875	35.0	9.0	0.8325893918552129	0.7245267751622539	1	1	1	0.8233055749477753
iinmknji-1	Endothelial Cells	5757.4189453125	3224.12158203125	17.0	6.0	0.6715446200987684	0.6122961576274708	1	1	1	0.8233055749477753
jblnjfcc-1	Endothelial Cells	6443.54931640625	2212.572021484375	71.0	8.0	0.9936341636116572	0.6913742480868107	2	2	2	0.8227989328931524
lnknjgfl-1	Endothelial Cells	8804.9140625	2986.728759765625	30.0	7.0	0.7978474140428734	0.6543128759565946	3	3	3	0.8215520620777272
jmegbahe-1	Endothelial Cells	8513.806640625	131.52210998535156	11.0	8.0	0.5773394676840509	0.6913742480868107	1	1	1	0.8208592032434098
jmejadih-1	Endothelial Cells	8522.3896484375	156.8907928466797	28.0	11.0	0.7823524405574647	0.7818957080144684	1	1	1	0.8208592032434098
kfoioecf-1	Endothelial Cells	9103.71875	1753.4261474609375	36.0	12.0	0.8389552282435554	0.8070817847603028	5	3	5	0.8162102094696414
lkhjdeba-1	Endothelial Cells	8818.1533203125	2971.134033203125	60.0	5.0	0.955114240875238	0.5637914160289369	5	4	4	0.8154426967527726
kdbhchjg-1	Endothelial Cells	9468.5908203125	1504.002197265625	18.0	9.0	0.6841065168404427	0.7245267751622539	1	1	1	0.8153343514409844
lkhjoohk-1	Endothelial Cells	8836.576171875	2960.13525390625	44.0	15.0	0.8844342284183351	0.8724171679421262	3	2	3	0.8149510272593783
jlopceoo-1	Endothelial Cells	8575.4453125	289.23516845703125	26.0	17.0	0.765749772513486	0.9094785400723421	3	2	3	0.8139529121450789
jbhmnjbi-1	Endothelial Cells	6714.93408203125	2290.2470703125	45.0	13.0	0.8895407744957814	0.8304004496130023	3	2	3	0.8077270848024987
jlopfhbi-1	Endothelial Cells	8582.9873046875	301.01092529296875	29.0	13.0	0.7902290760036176	0.8304004496130023	3	2	3	0.8062055699738935
ldcjppnd-1	Endothelial Cells	8949.0517578125	1126.2158203125	21.0	7.0	0.7181681471869151	0.6543128759565946	3	3	3	0.805043538221414
lkmocdje-1	Endothelial Cells	8648.919921875	2963.642822265625	15.0	8.0	0.6441790870257778	0.6913742480868107	2	2	2	0.8013286795392441
molihian-1	Endothelial Cells	5326.95849609375	4575.14404296875	32.0	8.0	0.8123732996016326	0.6913742480868107	2	2	2	0.7964775794468151
lkhjcmna-1	Endothelial Cells	8841.75390625	2976.7392578125	22.0	13.0	0.7284960027393369	0.8304004496130023	2	1	2	0.7956102864636937
jblmckeh-1	Endothelial Cells	6438.77392578125	2180.64501953125	25.0	5.0	0.7569812415629582	0.5637914160289369	2	2	2	0.7945711568759253
kfoelmlh-1	Endothelial Cells	8995.1083984375	1771.059326171875	29.0	12.0	0.7902290760036176	0.8070817847603028	1	1	1	0.7938306323386549
melfpaih-1	Endothelial Cells	8328.1767578125	3819.433349609375	31.0	13.0	0.8052238587822221	0.8304004496130023	4	3	4	0.7912731343378959
lnknegpi-1	Endothelial Cells	8814.0625	2990.41845703125	23.0	5.0	0.7383842394404954	0.5637914160289369	3	3	3	0.7905982245258018
lkobjgcc-1	Endothelial Cells	8491.810546875	3055.573486328125	46.0	6.0	0.8945374938193158	0.6122961576274708	4	4	4	0.7823826118257261
ldcoanba-1	Endothelial Cells	8960.6396484375	1145.852783203125	27.0	12.0	0.7741993761749866	0.8070817847603028	4	3	3	0.7823639438452005
lngaheen-1	Endothelial Cells	9441.501953125	3449.366943359375	24.0	3.0	0.7478687601520222	0.4362085839710631	2	2	2	0.7817872861322893
lcpllchg-1	Endothelial Cells	8827.5078125	383.5127868652344	44.0	8.0	0.8844342284183351	0.6913742480868107	1	1	1	0.7816970534837387
lcpiappf-1	Endothelial Cells	8833.388671875	375.6321716308594	24.0	3.0	0.7478687601520222	0.4362085839710631	1	1	1	0.7816970534837387
kmojggal-1	Endothelial Cells	7716.86328125	2388.45166015625	24.0	12.0	0.7478687601520222	0.8070817847603028	2	2	2	0.7808609226450064
llebhdml-1	Endothelial Cells	8634.6318359375	2955.179931640625	21.0	6.0	0.7181681471869151	0.6122961576274708	1	1	1	0.7773143801098985
lddaiohe-1	Endothelial Cells	8931.9013671875	1102.4874267578125	20.0	5.0	0.7073597568332597	0.5637914160289369	2	2	2	0.7761579546944546
