pathway	cell_type	present_genes	n_present_genes	mean_activity	q95_activity	detection_fraction_activity_positive
VascularIdentity	Mast Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.014854782088475862	0.059537459863150226	0.34688346883468835
VascularIdentity	Myeloid Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.01973184074748417	0.08052217998521694	0.4354243542435424
VascularIdentity	Myoepithelial Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.013979944376851254	0.058611795791975174	0.3432092913012562
VascularIdentity	Pericytes	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.07769902455310783	0.2083392463533811	0.8027698775813034
VascularIdentity	Plasma Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.03650530885857795	0.09273550515473306	0.7319587628865979
VascularIdentity	T Lymphocytes	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.01407967169985438	0.05687005749692231	0.36492890995260663
VascularIdentity	Unassigned	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.0	0.0	0.0
Hemostasis_Thromboinflammation	11q13 Invasive Tumor Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.08127072254806182	0.15458128663562398	0.9590542819663939
Hemostasis_Thromboinflammation	11q13 Invasive Tumor Cells (G1/S)	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.0652213055409331	0.12067972161609646	0.9250210614995787
Hemostasis_Thromboinflammation	11q13 Invasive Tumor Cells (Mitotic)	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.08149835321585597	0.15800867796912568	0.9634443541835905
Hemostasis_Thromboinflammation	Apocrine Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.05249795543063073	0.11585787446492746	0.8461538461538461
Hemostasis_Thromboinflammation	B Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.0032613763367493023	0.02684079529274074	0.08837579617834394
Hemostasis_Thromboinflammation	Basal-like Structured DCIS Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.04309090950926736	0.1094822173153776	0.7392694063926941
Hemostasis_Thromboinflammation	CAFs, DCIS Associated	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.010565396463989718	0.06570093399712354	0.23615088781605434
Hemostasis_Thromboinflammation	CAFs, Invasive Associated	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.03033326798972266	0.1064760243501612	0.540864783804049
Hemostasis_Thromboinflammation	CXCL14+ Fibroblasts	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.0030006077468182004	0.02492584364408587	0.08711507293354943
Hemostasis_Thromboinflammation	Dendritic Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.015753977417540362	0.07177942634556551	0.31362275449101795
Hemostasis_Thromboinflammation	Endothelial Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.12080628952187553	0.2793112475938022	0.9394712430426716
Hemostasis_Thromboinflammation	Luminal-like Amorphous DCIS Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.038831033989437214	0.1060234865145806	0.6648756524408965
Hemostasis_Thromboinflammation	Macrophages	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.006982630553022888	0.041666666666666664	0.16342916342916342
Hemostasis_Thromboinflammation	Mast Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.015144267463717989	0.06634732276745563	0.37669376693766937
Hemostasis_Thromboinflammation	Myeloid Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.017487857329271606	0.07214822807207683	0.3505535055350554
Hemostasis_Thromboinflammation	Myoepithelial Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.025627258215754806	0.09062677764120941	0.5226356956624792
Hemostasis_Thromboinflammation	Pericytes	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.04064672914998949	0.13607883121323613	0.6026956844318041
Hemostasis_Thromboinflammation	Plasma Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.011714780267475786	0.06034166085186068	0.26575028636884307
Hemostasis_Thromboinflammation	T Lymphocytes	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.009796801229317451	0.05761452067390089	0.22362185083561986
Hemostasis_Thromboinflammation	Unassigned	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.0	0.0	0.0
