method	database_mode	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	rank_fraction	fdr_or_pvalue	resolution	spatial_support_type	artifact_path	sender_mean_expr	receiver_mean_expr	lr_pair	method_source	sender_diffused_mean	receiver_diffused_mean	diffusion_alpha	spatial_coherence	local_lr_score	edge_count	spatialdm_moran_r	spatialdm_zscore	n_spots	n_spots_sig	n_spots_sig_pval	local_contact	contact_strength_normalized	contact_coverage	cross_edge_count
cellphonedb	common-db	APP	LRP1	Basal-like Structured DCIS Cells	CAFs, Invasive Associated	5.121643267293623	0.9999822553605712	22.0	0.9999822553605712		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.3278992444072686	2.2001138062990777	APP-LRP1	cellphonedb															
cellphonedb	common-db	PSAP	LRP1	Dendritic Cells	CAFs, DCIS Associated	5.06511938296633	0.9999805653949112	24.0	0.9999805653949112		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.169123797433938	2.3350992640246444	PSAP-LRP1	cellphonedb															
cellphonedb	common-db	CXCL12	ITGB1	CAFs, DCIS Associated	CAFs, Invasive Associated	5.029305527611334	0.9999788754292512	26.0	0.9999788754292512		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.7047558151732374	1.8594305258159547	CXCL12-ITGB1	cellphonedb															
cellphonedb	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells (Mitotic)	CAFs, Invasive Associated	4.856397702456914	0.9999771854635914	28.0	0.9999771854635914		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.2073393151539307	2.2001138062990777	PLAT-LRP1	cellphonedb															
cellphonedb	common-db	PSAP	LRP1	Dendritic Cells	CAFs, Invasive Associated	4.7723192143062905	0.9999754954979316	30.0	0.9999754954979316		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.169123797433938	2.2001138062990777	PSAP-LRP1	cellphonedb															
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells	CAFs, DCIS Associated	5.290108664680475	1.0	1.0	1.0		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.741773374931986	1.9294478212706785	0.5												
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells (G1/S)	CAFs, DCIS Associated	4.448172817992109	0.9999977010349176	4.0	0.9999977010349176		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.3054123407507707	1.9294478212706785	0.5												
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells (Mitotic)	CAFs, DCIS Associated	4.281147197873925	0.9999946357481408	8.0	0.9999946357481408		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.218845801725017	1.9294478212706785	0.5												
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells	CAFs, Invasive Associated	4.135846885851443	0.9999923367830582	11.0	0.9999923367830582		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.741773374931986	1.5084568708943855	0.5												
laris	common-db	APP	LRP1	Basal-like Structured DCIS Cells	CAFs, DCIS Associated	4.038123336494129	0.9999908041396698	13.0	0.9999908041396698		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			APP-LRP1	laris	2.092890666426386	1.9294478212706785	0.5												
laris	common-db	HSPG2	LRP1	Endothelial Cells	CAFs, DCIS Associated	3.963162214554297	0.9999892714962816	15.0	0.9999892714962816		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			HSPG2-LRP1	laris	2.054039591464191	1.9294478212706785	0.5												
laris	common-db	VWF	LRP1	Endothelial Cells	CAFs, DCIS Associated	3.8781962958475273	0.9999869725311988	18.0	0.9999869725311988		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-LRP1	laris	2.0100032004459494	1.9294478212706785	0.5												
laris	common-db	CCN2	LRP1	CAFs, Invasive Associated	CAFs, DCIS Associated	3.856935896772125	0.9999854398878104	20.0	0.9999854398878104		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			CCN2-LRP1	laris	1.998984297088718	1.9294478212706785	0.5												
laris	common-db	CXCL12	ITGB1	CAFs, DCIS Associated	CAFs, Invasive Associated	3.633886771181732	0.999983140922728	23.0	0.999983140922728		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			CXCL12-ITGB1	laris	2.318787809660492	1.5671493338210158	0.5												
laris	common-db	SERPINA1	LRP1	Apocrine Cells	CAFs, DCIS Associated	3.579056800038901	0.9999823746010338	24.0	0.9999823746010338		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			SERPINA1-LRP1	laris	1.8549642859384703	1.9294478212706785	0.5												
