contour_id	classification_name	assigned_structure	value	feature
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__whole__emcn
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.5873915102460823	rna__whole__emcn
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.06744844156323	rna__whole__emcn
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__whole__emcn
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__whole__emcn
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	rna__whole__emcn
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0774115423611214	rna__whole__kdr
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__whole__kdr
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__whole__kdr
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0780949047901716	rna__whole__kdr
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.1385002056584804	rna__whole__kdr
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	rna__whole__kdr
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__whole__kdr
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0232494001547177	rna__whole__kdr
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__whole__kdr
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__whole__kdr
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.2193713595152535	rna__whole__kdr
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__whole__kdr
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__whole__kdr
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.0	rna__whole__kdr
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.0	rna__whole__kdr
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.3610214246799882	rna__whole__kdr
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	rna__whole__kdr
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.0	rna__whole__kdr
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__whole__kdr
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	rna__whole__kdr
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0	rna__whole__kdr
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__whole__kdr
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__whole__kdr
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.6624982390273867	rna__whole__kdr
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.1506500575664022	rna__whole__kdr
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__whole__kdr
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__whole__kdr
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	rna__whole__kdr
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0696516480006165	pathway__whole__vascular_stromal
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		pathway__whole__vascular_stromal
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		pathway__whole__vascular_stromal
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0542424607543646	pathway__whole__vascular_stromal
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.055341348999192	pathway__whole__vascular_stromal
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	pathway__whole__vascular_stromal
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		pathway__whole__vascular_stromal
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0696097535916172	pathway__whole__vascular_stromal
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		pathway__whole__vascular_stromal
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	pathway__whole__vascular_stromal
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.1114447639607452	pathway__whole__vascular_stromal
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	pathway__whole__vascular_stromal
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0466454241844282	pathway__whole__vascular_stromal
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.1390121222783406	pathway__whole__vascular_stromal
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.2509549498741152	pathway__whole__vascular_stromal
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.1000904515470486	pathway__whole__vascular_stromal
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	pathway__whole__vascular_stromal
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.117460756143878	pathway__whole__vascular_stromal
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		pathway__whole__vascular_stromal
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	pathway__whole__vascular_stromal
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0665752898267624	pathway__whole__vascular_stromal
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		pathway__whole__vascular_stromal
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		pathway__whole__vascular_stromal
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.1640485796713655	pathway__whole__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.0707743229984139	pathway__whole__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0176899304879547	pathway__whole__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		pathway__whole__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	pathway__whole__vascular_stromal
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.1081066595437506	rna__core__pecam1
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__core__pecam1
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__core__pecam1
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0977796034293628	rna__core__pecam1
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.0	rna__core__pecam1
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	rna__core__pecam1
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__core__pecam1
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.1794382106059742	rna__core__pecam1
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__core__pecam1
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__core__pecam1
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.4993899732201639	rna__core__pecam1
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__core__pecam1
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__core__pecam1
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	1.0051004849450509	rna__core__pecam1
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.0	rna__core__pecam1
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.0	rna__core__pecam1
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	rna__core__pecam1
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.0	rna__core__pecam1
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__core__pecam1
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	rna__core__pecam1
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0	rna__core__pecam1
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__core__pecam1
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__core__pecam1
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells		rna__core__pecam1
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.1074789947521153	rna__core__pecam1
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__core__pecam1
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__core__pecam1
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	rna__core__pecam1
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.081986111713777	rna__core__emcn
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__core__emcn
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__core__emcn
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0728578243407787	rna__core__emcn
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.0	rna__core__emcn
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	rna__core__emcn
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__core__emcn
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0739278129904257	rna__core__emcn
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__core__emcn
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__core__emcn
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.0	rna__core__emcn
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__core__emcn
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__core__emcn
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.4400861985817982	rna__core__emcn
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.0	rna__core__emcn
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.0	rna__core__emcn
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	rna__core__emcn
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.0	rna__core__emcn
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__core__emcn
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	rna__core__emcn
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0	rna__core__emcn
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__core__emcn
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__core__emcn
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells		rna__core__emcn
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.0709433356321481	rna__core__emcn
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__core__emcn
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__core__emcn
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	rna__core__emcn
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0609674667041961	rna__core__kdr
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__core__kdr
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__core__kdr
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0591450324805104	rna__core__kdr
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.1896739558093959	rna__core__kdr
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	rna__core__kdr
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__core__kdr
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0387490002578629	rna__core__kdr
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__core__kdr
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__core__kdr
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.2276267642965102	rna__core__kdr
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__core__kdr
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__core__kdr
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.0	rna__core__kdr
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.0	rna__core__kdr
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.0	rna__core__kdr
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	rna__core__kdr
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.0	rna__core__kdr
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__core__kdr
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	rna__core__kdr
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0	rna__core__kdr
