contour_id	classification_name	assigned_structure	value	feature
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	pathway__core__vascular_stromal
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0665752898267624	pathway__core__vascular_stromal
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		pathway__core__vascular_stromal
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		pathway__core__vascular_stromal
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells		pathway__core__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.0641194866771945	pathway__core__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	pathway__core__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		pathway__core__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	pathway__core__vascular_stromal
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.230085777377728	rna__inner_rim__pecam1
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__inner_rim__pecam1
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__inner_rim__pecam1
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.1713339235243716	rna__inner_rim__pecam1
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.132202398894343	rna__inner_rim__pecam1
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		rna__inner_rim__pecam1
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__inner_rim__pecam1
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0	rna__inner_rim__pecam1
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__inner_rim__pecam1
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages		rna__inner_rim__pecam1
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.3244235527877167	rna__inner_rim__pecam1
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages		rna__inner_rim__pecam1
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__inner_rim__pecam1
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.0	rna__inner_rim__pecam1
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells		rna__inner_rim__pecam1
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.7163328252423268	rna__inner_rim__pecam1
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		rna__inner_rim__pecam1
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		rna__inner_rim__pecam1
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__inner_rim__pecam1
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells		rna__inner_rim__pecam1
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells		rna__inner_rim__pecam1
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__inner_rim__pecam1
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__inner_rim__pecam1
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.4091528053887573	rna__inner_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.140544013718553	rna__inner_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__inner_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__inner_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		rna__inner_rim__pecam1
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0664236633822861	rna__inner_rim__emcn
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__inner_rim__emcn
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__inner_rim__emcn
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.1529428056690538	rna__inner_rim__emcn
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.0586423751840041	rna__inner_rim__emcn
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		rna__inner_rim__emcn
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__inner_rim__emcn
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0	rna__inner_rim__emcn
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__inner_rim__emcn
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages		rna__inner_rim__emcn
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.126131440881904	rna__inner_rim__emcn
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages		rna__inner_rim__emcn
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__inner_rim__emcn
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.0	rna__inner_rim__emcn
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells		rna__inner_rim__emcn
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.361620937806237	rna__inner_rim__emcn
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		rna__inner_rim__emcn
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		rna__inner_rim__emcn
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__inner_rim__emcn
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells		rna__inner_rim__emcn
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells		rna__inner_rim__emcn
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__inner_rim__emcn
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__inner_rim__emcn
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.5873915102460823	rna__inner_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.0633648018984727	rna__inner_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__inner_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__inner_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		rna__inner_rim__emcn
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0889971411194097	rna__inner_rim__kdr
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__inner_rim__kdr
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__inner_rim__kdr
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.1257482601571136	rna__inner_rim__kdr
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.1017190727375099	rna__inner_rim__kdr
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		rna__inner_rim__kdr
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__inner_rim__kdr
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0	rna__inner_rim__kdr
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__inner_rim__kdr
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages		rna__inner_rim__kdr
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.2160176013228679	rna__inner_rim__kdr
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages		rna__inner_rim__kdr
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__inner_rim__kdr
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.0	rna__inner_rim__kdr
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells		rna__inner_rim__kdr
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.4899576477799841	rna__inner_rim__kdr
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		rna__inner_rim__kdr
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		rna__inner_rim__kdr
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__inner_rim__kdr
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells		rna__inner_rim__kdr
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells		rna__inner_rim__kdr
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__inner_rim__kdr
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__inner_rim__kdr
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.6624982390273867	rna__inner_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.1529406674063038	rna__inner_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__inner_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__inner_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		rna__inner_rim__kdr
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0797757517494406	pathway__inner_rim__vascular_stromal
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		pathway__inner_rim__vascular_stromal
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		pathway__inner_rim__vascular_stromal
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0612486365698713	pathway__inner_rim__vascular_stromal
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.0648430826385768	pathway__inner_rim__vascular_stromal
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		pathway__inner_rim__vascular_stromal
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		pathway__inner_rim__vascular_stromal
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0574527509181122	pathway__inner_rim__vascular_stromal
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		pathway__inner_rim__vascular_stromal
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages		pathway__inner_rim__vascular_stromal
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.1174794488310913	pathway__inner_rim__vascular_stromal
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages		pathway__inner_rim__vascular_stromal
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0419106868803214	pathway__inner_rim__vascular_stromal
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.1043312901386763	pathway__inner_rim__vascular_stromal
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells		pathway__inner_rim__vascular_stromal
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.1358370413852803	pathway__inner_rim__vascular_stromal
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		pathway__inner_rim__vascular_stromal
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		pathway__inner_rim__vascular_stromal
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		pathway__inner_rim__vascular_stromal
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells		pathway__inner_rim__vascular_stromal
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells		pathway__inner_rim__vascular_stromal
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		pathway__inner_rim__vascular_stromal
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		pathway__inner_rim__vascular_stromal
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.1640485796713655	pathway__inner_rim__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.0785502249364695	pathway__inner_rim__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0212279165855456	pathway__inner_rim__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		pathway__inner_rim__vascular_stromal
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		pathway__inner_rim__vascular_stromal
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.3063421846939932	rna__outer_rim__pecam1
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__outer_rim__pecam1
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells	0.0	rna__outer_rim__pecam1
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.3933872310669178	rna__outer_rim__pecam1
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.3904484089660468	rna__outer_rim__pecam1
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		rna__outer_rim__pecam1
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells	0.0	rna__outer_rim__pecam1
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.5265641971492074	rna__outer_rim__pecam1
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages	0.0	rna__outer_rim__pecam1
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__outer_rim__pecam1
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.689337109917815	rna__outer_rim__pecam1
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__outer_rim__pecam1
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.8449618957576507	rna__outer_rim__pecam1
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.0	rna__outer_rim__pecam1
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	1.2989100596986898	rna__outer_rim__pecam1
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	1.172241823330317	rna__outer_rim__pecam1
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		rna__outer_rim__pecam1
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		rna__outer_rim__pecam1
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells	0.0	rna__outer_rim__pecam1
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	1.5854461321978617	rna__outer_rim__pecam1
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.3922609619185822	rna__outer_rim__pecam1
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells	0.1066094431927571	rna__outer_rim__pecam1
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__outer_rim__pecam1
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.0	rna__outer_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.5503225422813688	rna__outer_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.1557196622786285	rna__outer_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells	0.0	rna__outer_rim__pecam1
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		rna__outer_rim__pecam1
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.14446090366206	rna__outer_rim__emcn
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__outer_rim__emcn
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells	0.0	rna__outer_rim__emcn
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.1132410808072172	rna__outer_rim__emcn
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.1659020507854718	rna__outer_rim__emcn
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		rna__outer_rim__emcn
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells	0.0	rna__outer_rim__emcn
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.2353542826539352	rna__outer_rim__emcn
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages	0.0	rna__outer_rim__emcn
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__outer_rim__emcn
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.355195862880829	rna__outer_rim__emcn
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__outer_rim__emcn
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.1984497855493979	rna__outer_rim__emcn
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.2283643672023154	rna__outer_rim__emcn
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.6679912724723958	rna__outer_rim__emcn
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.5743377684390826	rna__outer_rim__emcn
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		rna__outer_rim__emcn
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		rna__outer_rim__emcn
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells	1.279897827821988	rna__outer_rim__emcn
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.2125733294076071	rna__outer_rim__emcn
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.1777395642434243	rna__outer_rim__emcn
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells	0.1289637759551252	rna__outer_rim__emcn
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__outer_rim__emcn
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.0	rna__outer_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.3614537178064838	rna__outer_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.1870063913186551	rna__outer_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells	0.0	rna__outer_rim__emcn
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		rna__outer_rim__emcn
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.2163950367835546	rna__outer_rim__kdr
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__outer_rim__kdr
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells	0.0	rna__outer_rim__kdr
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.1203917260732285	rna__outer_rim__kdr
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.2139253640956269	rna__outer_rim__kdr
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells		rna__outer_rim__kdr
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells	0.0	rna__outer_rim__kdr
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.2720449941665531	rna__outer_rim__kdr
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages	0.0	rna__outer_rim__kdr
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	2.1880331736972054	rna__outer_rim__kdr
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.3362230326719619	rna__outer_rim__kdr
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__outer_rim__kdr
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.4475273128209102	rna__outer_rim__kdr
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.7233873071937582	rna__outer_rim__kdr
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.902328828711564	rna__outer_rim__kdr
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.3961003301357655	rna__outer_rim__kdr
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells		rna__outer_rim__kdr
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells		rna__outer_rim__kdr
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells	0.0	rna__outer_rim__kdr
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	1.082245528511163	rna__outer_rim__kdr
S6 Apocrine Cells #1.1	S6 Apocrine Cells #1.1	Apocrine Cells	0.0	rna__outer_rim__kdr
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells	0.0	rna__outer_rim__kdr
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__outer_rim__kdr
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells	0.1291936208772156	rna__outer_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.3899297316432598	rna__outer_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.186163694262481	rna__outer_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells	0.0	rna__outer_rim__kdr
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells		rna__outer_rim__kdr
