ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
EFNB2	PECAM1	T Lymphocytes	Apocrine Cells	recompute	recompute	recompute	0.7800321422220979	0.2491073778594529	0.2461374514707439	0.0213929720256037	0.0001990509171164	0.0	0.0	0.0	0.0	86	1.0	0.0035603199352139	EFNB2-PECAM1
VWF	LRP1	Myeloid Cells	B Cells	recompute	recompute	recompute	0.7848266128497919	0.6207977546603366	0.6198216015396206	0.0004024409845247	0.0016667952436519	0.0	0.0002367424242424	0.0294243396726654	0.0	144	1.0	0.0035571163684647	VWF-LRP1
VWF	LRP1	Apocrine Cells	Myoepithelial Cells	recompute	recompute	recompute	0.2486570577556728	0.7346293219749174	0.2461374514707439	0.0001077515101466	0.0416128058995347	0.0	0.0001697875230425	0.0070398017882465	0.0	937	1.0	0.0035543178338263	VWF-LRP1
VWF	ITGA9	Apocrine Cells	Dendritic Cells	recompute	recompute	recompute	0.2486570577556728	0.6252253442669611	0.2461374514707439	0.0001077515101466	0.0487643047611538	0.0	0.002840909090909	0.1112012844864508	0.0	64	1.0	0.0035527404731622	VWF-ITGA9
VWF	ITGA9	Macrophages	Apocrine Cells	recompute	recompute	recompute	0.9011206516381156	0.2531744428854943	0.2461374514707439	0.0008850282134344	0.0040430820937484	0.0	0.0	0.0	0.0	19	1.0	0.0035522978004416	VWF-ITGA9
MMRN2	CD93	Mast Cells	Luminal-like Amorphous DCIS Cells	recompute	recompute	recompute	0.8571898293845529	0.4630027772793905	0.2461374514707439	0.0004196880356983	0.0048929293424311	0.0	0.0	0.0	0.0	41	1.0	0.0035513285350726	MMRN2-CD93
MMRN2	CLEC14A	Plasma Cells	Dendritic Cells	recompute	recompute	recompute	0.7205550478301406	0.6347970925105053	0.6198216015396206	0.0002165306714062	0.003263637675389	0.0	0.0	0.0	0.0	271	1.0	0.0035506014673955	MMRN2-CLEC14A
MMP2	PECAM1	11q13 Invasive Tumor Cells (Mitotic)	Mast Cells	recompute	recompute	recompute	0.6303642896310324	0.8537710813834968	0.6198216015396206	0.0014431743145616	0.0004138063814779	0.0	0.005	0.7278835386338188	0.0	5	1.0	0.0035472206831353	MMP2-PECAM1
VWF	LRP1	Mast Cells	11q13 Invasive Tumor Cells (Mitotic)	recompute	recompute	recompute	0.8525936146535493	0.6207977546603366	0.6198216015396206	0.0002103933337194	0.0028784826949613	0.0	0.0	0.0	0.0	10	1.0	0.0035456520546464	VWF-LRP1
MMRN2	CD93	Apocrine Cells	Macrophages	recompute	recompute	recompute	0.250044481781731	0.944024288971064	0.2461374514707439	7.058774627838557e-05	0.0484215930647349	0.0	0.0	0.0	0.0	15	1.0	0.0035454227770482	MMRN2-CD93
MMRN2	CLEC14A	11q13 Invasive Tumor Cells (G1/S)	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.6301823358791634	0.9003264838243337	0.6198216015396206	0.000716220684292	0.0007880862995141	0.0	0.0	0.0	0.0	380	1.0	0.003545092173605	MMRN2-CLEC14A
VWF	SELP	Mast Cells	Luminal-like Amorphous DCIS Cells	recompute	recompute	recompute	0.8525936146535493	0.4623922682986163	0.2461374514707439	0.0002103933337194	0.0096770075292062	0.0	0.0	0.0	0.0	41	1.0	0.0035423169663704	VWF-SELP
VEGFC	FLT1	Mast Cells	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.8317042416754105	0.878254460598671	0.8567148457705164	0.0005440770361181	0.0005788283879716	0.0	0.0	0.0	0.0	148	1.0	0.0035408583115085	VEGFC-FLT1
CCN1	CAV1	Apocrine Cells	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.2542249848376565	0.62431395375366	0.2461374514707439	0.0014656941948563	0.0034299077593249	0.0	0.0	0.0	0.0	4	1.0	0.0035387904110023	CCN1-CAV1
VWF	SELP	CXCL14+ Fibroblasts	CAFs, Invasive Associated	recompute	recompute	recompute	0.9275752708651288	0.6572093097629401	0.6198216015396206	0.000245041593909	0.002113171886167	0.0	0.0	0.0	0.0	1422	1.0	0.0035365977609931	VWF-SELP
MMRN2	CLEC14A	Myeloid Cells	11q13 Invasive Tumor Cells (G1/S)	recompute	recompute	recompute	0.7856500335676843	0.6347970925105053	0.6198216015396206	0.0005542667491398	0.0011388334136451	0.0	0.0	0.0	0.0	32	1.0	0.0035349795917726	MMRN2-CLEC14A
MMRN2	CLEC14A	CXCL14+ Fibroblasts	Myeloid Cells	recompute	recompute	recompute	0.940547666092272	0.7830372268649692	0.7827641335561659	0.0001298888146421	0.0026038611777234	0.0	0.0	0.0	0.0	526	1.0	0.0035345690691154	MMRN2-CLEC14A
MMP2	PECAM1	Mast Cells	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.8560892486218385	0.930308383061206	0.8567148457705164	0.0006966068981631	0.0004089864655001	0.0	0.0	0.0	0.0	148	1.0	0.0035327749654446	MMP2-PECAM1
EFNB2	PECAM1	11q13 Invasive Tumor Cells (G1/S)	Apocrine Cells	recompute	recompute	recompute	0.662063103571249	0.2491073778594529	0.2461374514707439	0.0236359933700329	0.0001990509171164	0.0	0.0	0.0	0.0	4	1.0	0.0035223888157423	EFNB2-PECAM1
