spatial_block_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x0_y10,0.5399882172129331,0.3686991279814674,0.0,0.45654064609535855,0.3015494815964216,0.2232295075854007,0.11024967339299167,0.18627707770650326,0.299186560388729,0.08877002030743013
block_x0_y11,0.31111161111184393,0.2052175626971292,0.11345220564235667,0.437445674492861,0.17632385582568363,0.3398508267248773,0.28266204103132797,0.0,0.45138141704373896,0.42077311899383874
block_x0_y13,0.018921268356708296,0.03643112243347075,0.08946277663752156,0.12319944143657852,0.24227895564930807,0.5431551481739052,0.3321569322764636,0.0,0.501542947771197,0.7487913837368925
block_x0_y14,0.44663098762619646,0.3512679508695206,0.904730278188292,0.5115470169681477,0.5020894559218364,0.20337793419991834,0.45005833243091437,0.12747096361875726,0.31353212935982755,0.1994959121710099
block_x0_y2,0.3709747397151073,0.1827400411529873,0.21148947351733463,0.4732188261869084,0.2911038660294725,0.47101998680474877,0.25736311051331595,0.0,0.19274523114894182,0.40278070660772164
block_x0_y4,0.653229863097791,0.4245816621167106,0.4687292208327441,0.4378590224208651,0.31983816174619645,0.0,0.25702591205763703,0.10253093353776399,0.21318983144870682,0.11508344063284479
block_x0_y5,0.4395996167323733,0.30573700877002513,0.20338786053670904,0.5197846213128892,0.47479405309678346,0.4064231786471716,0.2702020505352206,0.028983581734825077,0.28456430565536994,0.3300406559142319
block_x0_y6,0.7449711105906833,0.4619541847970076,0.0794252401143959,0.7254497335557181,0.5675792013538146,0.04267223995930487,0.017421565777329555,0.0,0.06360134074274126,0.11814981504646475
block_x0_y7,0.7079500505483771,0.5400743741814565,0.20015217369883473,0.8825260431073993,0.5184047572421581,0.2426393811058511,0.2834413306530686,0.04365047495548694,0.2646687199853291,0.14096902037437692
block_x0_y8,0.3585386494471372,0.3065782153168633,0.12535611464577168,0.33167192933646344,0.4463990633397752,0.21460662135056888,0.34177921027864716,0.17670061153028668,0.30295141615057836,0.35200971695844774
block_x0_y9,0.4843332540183576,0.4345970617400833,0.06792667151016753,0.5567323930287601,0.5433503313464141,0.09212791646779077,0.2174178350957557,0.017349921842464755,0.15421581676314638,0.24567905618652291
block_x10_y1,0.07611262458097896,0.0,0.10676886682463262,0.2780094293119435,0.29176379344808273,0.2227119800462386,0.4749930196131674,0.14331267787475613,0.5664409749829433,0.4094264980110372
block_x10_y10,0.7327781967627569,0.5569907507249762,0.17795883644515598,0.581250472861222,0.5758982631882034,0.08227975614523339,0.04917285448095644,0.0,0.060553322432748524,0.10621670599584944
block_x10_y11,0.7918199316364322,0.7639917902841744,0.10313695112718675,0.8370299637724221,0.6111318328235281,0.13125523257033794,0.20991444813087728,0.019693194327711053,0.14506267294484096,0.1981828498674215
block_x10_y12,1.0,1.0,0.09574860869252351,0.8936250443754267,0.43804835887524396,0.04291220953182342,0.116289309873031,0.038861548426400994,0.07625548172108766,0.03439412749612787
block_x10_y13,0.8755970345282583,0.707724617079591,0.21533726018772564,0.9149281300838227,0.8682887327276059,0.08842143036557404,0.2621355543883642,0.0,0.15761993755747689,0.1402239951101601
block_x10_y14,0.87545192309148,0.776734799288215,0.1768763645785657,0.8325271628153845,0.5117920323554748,0.05964298792677833,0.03283511220360576,0.0,0.032026191920038256,0.02692655145922434
